Time (s), Binding (nm)
0, 0, Step 1
0.2, 0.000313724
0.4, 0.00039513
0.6, 0.00167736
0.8, 0.00165596
1, 0.00245038
1.2, 0.00303847
1.4, 0.00397036
1.6, 0.00263233
1.8, 0.00244628
2, 0.00136383
2.2, 0.00192677
2.4, 0.00139917
2.6, 0.000954574
2.8, 0.0012271
3, 0.000342005
3.2, -0.00161246
3.4, -0.00121613
3.6, -0.000182186
3.8, -0.00137925
4, -0.000222662
4.2, 0.00113727
4.4, 0.000217181
4.6, -0.000374591
4.8, 0.000527452
5, -0.000135629
5.2, -0.00140816
5.4, -0.0013332
5.6, -0.00187576
5.8, -0.00115321
6, -0.00111029
6.2, -0.00111418
6.4, -0.00162535
6.6, -0.000835809
6.8, -0.00173739
7, -0.0013612
7.2, -0.000276998
7.4, -9.14488e-005
7.6, 0.000240516
7.8, 0.000103761
8, -0.000128023
8.2, -0.000993613
8.4, -0.000175689
8.6, -0.000371269
8.8, 0.000103478
9, -2.52834e-005
9.2, 4.56285e-005
9.4, -0.00145963
9.6, -0.000735198
9.8, -0.000621298
10, -0.0014169
10.2, -0.00203541
10.4, -0.00154257
10.6, -0.00413806
10.8, -0.00409019
11, -0.00250411
11.2, -0.00176131
11.4, -0.00106705
11.6, 0.000894584
11.8, 0.000141822
12, -6.56982e-005
12.2, -0.000372675
12.4, -0.000678075
12.6, -0.00178309
12.8, -0.00103122
13, -0.00165053
13.2, -0.00207358
13.4, -0.00260249
13.6, -0.00187165
13.8, -0.00300952
14, -0.00293614
14.2, -0.00197491
14.4, -0.00196068
14.6, -0.00217265
14.8, -0.00222099
15, -0.00232973
15.2, -0.00274028
15.4, -0.00315624
15.6, -0.00264336
15.8, -0.00100275
16, -0.00097107
16.2, -0.000991429
16.4, 0.000411145
16.6, -0.0013173
16.8, -0.00279369
17, -0.00245932
17.2, -0.00289218
17.4, -0.0037283
17.6, -0.00172376
17.8, -0.00241547
18, -0.00182257
18.2, -0.000902013
18.4, -0.00142589
18.6, -0.00136534
18.8, -0.00115236
19, -0.0013442
19.2, -0.00181305
19.4, -0.00211759
19.6, -0.00194579
19.8, -0.00139213
20, -0.00294085
20.2, -0.00382065
20.4, -0.00313854
20.6, -0.00351397
20.8, -0.00336642
21, -0.00287506
21.2, -0.00214783
21.4, -0.00194067
21.6, -0.00266549
21.8, -0.00293638
22, -0.00254388
22.2, -0.00350153
22.4, -0.00366178
22.6, -0.00400407
22.8, -0.00382448
23, -0.00329664
23.2, -0.00360727
23.4, -0.00450488
23.6, -0.00407762
23.8, -0.00458483
24, -0.00478239
24.2, -0.00407324
24.4, -0.00348581
24.6, -0.00363212
24.8, -0.003791
25, -0.00371128
25.2, -0.0037374
25.4, -0.00338943
25.6, -0.00334861
25.8, -0.00252186
26, -0.003019
26.2, -0.00283066
26.4, -0.00365133
26.6, -0.00415094
26.8, -0.00476719
27, -0.00534575
27.2, -0.00558112
27.4, -0.00479922
27.6, -0.00496823
27.8, -0.00492346
28, -0.0039441
28.2, -0.00383585
28.4, -0.00333259
28.6, -0.0030571
28.8, -0.00268836
29, -0.00380961
29.2, -0.00395193
29.4, -0.00517734
29.6, -0.00453981
29.8, -0.00475101
30, 0.112763, Step 2
30.2, 0.0977082
30.4, 0.0920483
30.6, 0.0842374
30.8, 0.0829506
31, 0.0782658
31.2, 0.0781703
31.4, 0.078577
31.6, 0.0800583
31.8, 0.0821075
32, 0.0830625
32.2, 0.0846628
32.4, 0.0848156
32.6, 0.0867258
32.8, 0.0880148
33, 0.089534
33.2, 0.0907539
33.4, 0.0940883
33.6, 0.0952693
33.8, 0.096194
34, 0.0993544
34.2, 0.100661
34.4, 0.102903
34.6, 0.105773
34.8, 0.108644
35, 0.108064
35.2, 0.111356
35.4, 0.112124
35.6, 0.112698
35.8, 0.114303
36, 0.118179
36.2, 0.118735
36.4, 0.120285
36.6, 0.12315
36.8, 0.125265
37, 0.125886
37.2, 0.128805
37.4, 0.130215
37.6, 0.133132
37.8, 0.133626
38, 0.13519
38.2, 0.136568
38.4, 0.137743
38.6, 0.13777
38.8, 0.139906
39, 0.141772
39.2, 0.143123
39.4, 0.145751
39.6, 0.147655
39.8, 0.149055
40, 0.151145
40.2, 0.153186
40.4, 0.154916
40.6, 0.156332
40.8, 0.158381
41, 0.159678
41.2, 0.160986
41.4, 0.162874
41.6, 0.164238
41.8, 0.165666
42, 0.166702
42.2, 0.168003
42.4, 0.170112
42.6, 0.171213
42.8, 0.173695
43, 0.176142
43.2, 0.177224
43.4, 0.179375
43.6, 0.181679
43.8, 0.182728
44, 0.184285
44.2, 0.186503
44.4, 0.18741
44.6, 0.18874
44.8, 0.190786
45, 0.192463
45.2, 0.19373
