,0: 0.0E+00 0.0E+00,1: 0.0E+00 0.0E+00,2: 0.0E+00 0.0E+00,3: 0.0E+00 0.0E+00,4: 0.0E+00 0.0E+00,5: 0.0E+00 0.0E+00
14.0,-0.00632112,-0.00224094,0.00210407,0.00183543,-0.005746,-0.00744727
14.2,-0.00633513,-0.00255138,0.00242399,0.00174513,-0.00548457,-0.0074185
14.4,-0.00671927,-0.00184068,0.00183222,0.000640038,-0.0056967,-0.00741002
14.6,-0.00726485,-0.000952143,0.00133737,0.000770262,-0.0054433,-0.00664159
14.8,-0.00716651,-0.00178793,0.00218108,0.000708716,-0.00579399,-0.00606414
15.0,-0.0074789,-0.00220562,0.00139009,-0.000162699,-0.00549697,-0.00454734
15.2,-0.00794641,-0.00257016,0.000616968,-0.00118897,-0.00580701,-0.00469297
15.4,-0.00803524,-0.00305277,0.00124812,-0.000589171,-0.00534515,-0.00496144
15.6,-0.00787661,-0.00373035,0.00158597,-0.000695093,-0.00536207,-0.00448022
15.8,-0.00804049,-0.00274123,0.000946986,-0.000700241,-0.00597317,-0.00500938
16.0,-0.00903983,-0.00225179,0.000918537,-0.000968131,-0.00595451,-0.00457739
16.2,-0.00940507,-0.00195199,0.00101364,0.000271514,-0.0055296,-0.00459584
16.4,-0.00906796,-0.00188133,0.000280935,-0.000231499,-0.00556132,-0.00461643
16.6,-0.00903676,-0.00209273,0.000647192,-0.00074936,-0.00581999,-0.00591491
16.8,-0.00873205,-0.00349206,0.0003561,0.000258002,-0.00607899,-0.0050538
17.0,-0.00861931,-0.00504325,0.000671009,-2.1401e-05,-0.00641233,-0.00560077
17.2,-0.0080434,-0.00466421,0.000512545,-0.000110536,-0.00741763,-0.00505331
17.4,-0.00845946,-0.00441696,0.00130015,0.000429433,-0.0070976,-0.00445331
17.6,-0.0077978,-0.00378573,0.000829335,0.00029513,-0.00625549,-0.00258203
17.8,-0.00868674,-0.00286415,0.00129004,-0.000520313,-0.00594821,-0.00309428
18.0,-0.00791739,-0.00124042,0.000522379,2.89357e-05,-0.00475302,-0.00377238
18.2,-0.00851843,-0.00188307,0.000279254,-7.97403e-05,-0.00431352,-0.00470127
18.4,-0.0077256,-0.00221123,0.000446113,0.000386873,-0.00473474,-0.00455183
18.6,-0.00783591,-0.00127319,0.00100433,0.000968076,-0.00476428,-0.00538317
18.8,-0.00642881,-0.00137544,0.00130422,0.00119788,-0.00530257,-0.00557268
19.0,-0.00730467,-0.0019108,0.00189949,0.00154607,-0.00621113,-0.00482358
19.2,-0.00665721,-0.000768042,0.00259321,0.00124095,-0.00657284,-0.00392768
19.4,-0.0079603,-0.000265922,0.00164127,0.00024631,-0.00657706,-0.00445844
19.6,-0.00840106,-0.00133144,0.000722492,-9.75183e-06,-0.00688318,-0.00494127
19.8,-0.00944041,-0.00164106,0.00119495,7.29909e-05,-0.00602352,-0.00424281
20.0,0.087704,0.121542,0.12406,0.133754,0.131078,-0.00503774
20.2,0.0859477,0.116624,0.125827,0.130131,0.123738,-0.00509494
20.4,0.0798621,0.115547,0.122226,0.121841,0.123825,-0.00437075
20.6,0.0760991,0.111386,0.123544,0.124977,0.122903,-0.00390849
20.8,0.0776068,0.110992,0.117812,0.124436,0.120551,-0.00419317
21.0,0.074717,0.108626,0.118551,0.122044,0.119566,-0.00336873
21.2,0.0723055,0.108161,0.118036,0.121531,0.1206,-0.00298969
21.4,0.0721366,0.108426,0.117232,0.122698,0.121096,-0.00311635
21.6,0.0721769,0.108943,0.116793,0.12325,0.121706,-0.00278952
21.8,0.0721163,0.108795,0.117288,0.124386,0.123248,-0.00235266
22.0,0.0716883,0.109709,0.115594,0.126762,0.124036,-0.00218708
22.2,0.0723657,0.109859,0.114504,0.128643,0.12537,-0.00245407
22.4,0.0729527,0.108305,0.11535,0.130335,0.126721,-0.00330719
22.6,0.0726499,0.108302,0.115018,0.131744,0.129029,-0.00475855
22.8,0.0726853,0.108715,0.115464,0.133497,0.131645,-0.00471498
23.0,0.0727026,0.107507,0.117539,0.133551,0.134815,-0.00463417
23.2,0.0721785,0.106755,0.118221,0.135476,0.137054,-0.00576492
23.4,0.0722528,0.106429,0.118645,0.136239,0.14043,-0.00513705
23.6,0.0714766,0.10701,0.118566,0.135651,0.14322,-0.00392013
23.8,0.0712764,0.106633,0.117367,0.136606,0.144401,-0.00419344
24.0,0.0720044,0.107143,0.116834,0.137254,0.146145,-0.00413819
24.2,0.072147,0.107541,0.116674,0.136577,0.148364,-0.0027888
24.4,0.0715191,0.107387,0.115548,0.136936,0.149944,-0.00278763
24.6,0.0723857,0.105797,0.115635,0.137881,0.150193,-0.00220922
24.8,0.0714017,0.10556,0.116531,0.136657,0.152185,-0.00182686
25.0,0.0713399,0.104929,0.115878,0.137589,0.154118,-0.00201315
25.2,0.0718401,0.103893,0.115438,0.137955,0.153992,-0.00266878
25.4,0.0713596,0.104719,0.115347,0.13827,0.154956,-0.0022926
25.6,0.0711282,0.105206,0.115171,0.138649,0.156479,-0.00308945
25.8,0.0723594,0.10432,0.115459,0.138374,0.156109,-0.00337821
26.0,0.0716605,0.104679,0.115449,0.137128,0.155378,-0.00294197
26.2,0.0711601,0.104995,0.115338,0.13729,0.156576,-0.00146446
26.4,0.071488,0.104046,0.115437,0.137099,0.156218,-0.00150699
26.6,0.0717741,0.104085,0.115867,0.137548,0.156295,-0.00125891
26.8,0.0702123,0.104711,0.115114,0.138749,0.157648,-0.00131208
27.0,0.070126,0.104906,0.115905,0.139688,0.158819,-0.00117113
27.2,0.0691098,0.105505,0.116729,0.140014,0.159307,-0.00238889
27.4,0.0691434,0.105599,0.116829,0.140124,0.1597,-0.00210027
27.6,0.0690601,0.104571,0.11632,0.140387,0.16064,-0.00266069
27.8,0.0692197,0.104239,0.116849,0.140812,0.160576,-0.0024197
28.0,0.0692533,0.104099,0.116667,0.140956,0.160708,-0.00239183
28.2,0.0703542,0.102322,0.115445,0.141113,0.161566,-0.00212971
28.4,0.0692807,0.102656,0.116333,0.1426,0.162111,-0.00275864
28.6,0.0695539,0.103042,0.117328,0.143088,0.16309,-0.00169271
28.8,0.068952,0.102119,0.117899,0.14314,0.164129,-0.00192194
29.0,0.0693212,0.102424,0.117289,0.143583,0.163858,-0.00226864
29.2,0.0695106,0.103525,0.118409,0.144052,0.163983,-0.00117783
29.4,0.0707615,0.102758,0.118044,0.143494,0.164659,-0.00186998
29.6,0.0705093,0.102779,0.117662,0.143752,0.165005,-0.00255408
29.8,0.0708139,0.103453,0.117344,0.143865,0.164574,-0.00196485
30.0,0.0708505,0.102873,0.117316,0.1441,0.166365,0.104356
30.2,0.0705161,0.102758,0.117407,0.144311,0.165353,0.0981152
30.4,0.0694364,0.103207,0.116797,0.145692,0.165826,0.100424
30.6,0.0688085,0.101998,0.116865,0.145032,0.164791,0.100519
30.8,0.0692068,0.10138,0.116819,0.145129,0.165596,0.0951775
31.0,0.067567,0.100711,0.117102,0.145524,0.16559,0.095753
31.2,0.068303,0.100217,0.117175,0.145929,0.16717,0.095709
31.4,0.0685826,0.100579,0.117395,0.145033,0.167126,0.0965473
31.6,0.0691947,0.100613,0.11705,0.146092,0.16767,0.0983066
31.8,0.069563,0.101319,0.117015,0.146116,0.167611,0.10147
32.0,0.0698114,0.101243,0.116876,0.14677,0.167558,0.105023
32.2,0.068836,0.100898,0.117248,0.146775,0.168436,0.110895
32.4,0.0693846,0.101108,0.118146,0.147082,0.168706,0.116576
32.6,0.068649,0.102162,0.118437,0.14765,0.168829,0.12357
32.8,0.0679349,0.101959,0.118101,0.148064,0.170527,0.130825
33.0,0.0699913,0.101311,0.118645,0.147359,0.170206,0.138538
33.2,0.0702349,0.101311,0.118069,0.147743,0.170232,0.146543
33.4,0.069114,0.100696,0.117638,0.147939,0.170451,0.153394
33.6,0.0701415,0.100191,0.117744,0.148447,0.171459,0.160842
33.8,0.0695615,0.099658,0.118656,0.149383,0.171004,0.169173
34.0,0.0689935,0.100962,0.117627,0.149407,0.171272,0.176007
34.2,0.0681472,0.101363,0.117994,0.148923,0.17187,0.184022
34.4,0.0690013,0.101268,0.11811,0.14897,0.171904,0.193153
34.6,0.068655,0.101892,0.117631,0.148667,0.172096,0.20204
34.8,0.0685366,0.103077,0.11749,0.147326,0.172574,0.210171
35.0,0.0677076,0.102147,0.118635,0.148266,0.173901,0.218688
35.2,0.068097,0.102384,0.119156,0.148524,0.173935,0.227526
35.4,0.0675779,0.102076,0.119212,0.149532,0.174083,0.235472
35.6,0.0668568,0.102164,0.118874,0.150021,0.173895,0.242194
35.8,0.0683462,0.100784,0.118092,0.150105,0.173955,0.249923
36.0,0.0683755,0.100663,0.118617,0.149558,0.172922,0.25784
36.2,0.0682831,0.101087,0.117719,0.150435,0.172941,0.264303
36.4,0.0689061,0.100938,0.118299,0.150347,0.172651,0.271035
36.6,0.0691726,0.099767,0.118735,0.149434,0.173396,0.27866
36.8,0.0671191,0.100867,0.118479,0.150657,0.173767,0.284681
37.0,0.0673659,0.0997395,0.117171,0.151239,0.174853,0.292175
37.2,0.0680784,0.100144,0.116457,0.151501,0.174492,0.298142
37.4,0.0674973,0.100608,0.114536,0.151068,0.175765,0.304287
37.6,0.0673595,0.100841,0.114685,0.151245,0.17556,0.311152
37.8,0.0687911,0.100267,0.115516,0.151656,0.174671,0.319526
38.0,0.0681322,0.1014,0.116008,0.152486,0.174896,0.325462
38.2,0.0668494,0.10009,0.116595,0.152087,0.176228,0.33301
38.4,0.0673851,0.0984612,0.117898,0.151465,0.175342,0.341065
38.6,0.0671656,0.0981555,0.118084,0.151983,0.176095,0.347213
38.8,0.0668464,0.0970782,0.118362,0.151724,0.177026,0.353335
39.0,0.0671285,0.0972603,0.119623,0.150423,0.176906,0.359763
39.2,0.0680189,0.0980304,0.120424,0.150332,0.176549,0.365056
