Time (s), Binding (nm)
0, 0, Step 1
0.2, -0.00120798
0.4, 0.000205994
0.6, 0.00145241
0.8, 0.000186392
1, -0.000345419
1.2, -0.000885752
1.4, -0.00109512
1.6, -0.00243386
1.8, -0.00226728
2, -0.00205933
2.2, -0.00331984
2.4, -0.00308575
2.6, -0.00404731
2.8, -0.00513709
3, -0.00486604
3.2, -0.00366858
3.4, -0.00555517
3.6, -0.00597695
3.8, -0.00561272
4, -0.00583956
4.2, -0.00686958
4.4, -0.00680966
4.6, -0.00656118
4.8, -0.00502353
5, -0.0062762
5.2, -0.00696733
5.4, -0.00718735
5.6, -0.00753594
5.8, -0.00916033
6, -0.00952816
6.2, -0.00995327
6.4, -0.0119029
6.6, -0.0112112
6.8, -0.0116072
7, -0.0121784
7.2, -0.0115
7.4, -0.0110116
7.6, -0.0125842
7.8, -0.0121924
8, -0.0134045
8.2, -0.0140304
8.4, -0.0162221
8.6, -0.0158745
8.8, -0.0168115
9, -0.0155792
9.2, -0.0159747
9.4, -0.0136549
9.6, -0.0142936
9.8, -0.0140737
10, -0.0133531
10.2, -0.0125513
10.4, -0.012243
10.6, -0.0123322
10.8, -0.0126656
11, -0.0135277
11.2, -0.0145192
11.4, -0.0160697
11.6, -0.0154407
11.8, -0.0157986
12, -0.0166223
12.2, -0.0160911
12.4, -0.0161167
12.6, -0.0157433
12.8, -0.0151477
13, -0.0135589
13.2, -0.0139248
13.4, -0.0137996
13.6, -0.0145842
13.8, -0.0144846
14, -0.0166625
14.2, -0.017386
14.4, -0.0177398
14.6, -0.0191214
14.8, -0.0208992
15, -0.0208009
15.2, -0.0201672
15.4, -0.0211661
15.6, -0.0185504
15.8, -0.0178707
16, -0.0181134
16.2, -0.018251
16.4, -0.0159167
16.6, -0.0194982
16.8, -0.019541
17, -0.0199828
17.2, -0.0194627
17.4, -0.0202938
17.6, -0.0181575
17.8, -0.0199386
18, -0.0197585
18.2, -0.0210048
18.4, -0.0220093
18.6, -0.0222746
18.8, -0.0217291
19, -0.0212422
19.2, -0.0218444
19.4, -0.0223873
19.6, -0.0227879
19.8, -0.0227493
20, -0.0217463
20.2, -0.0208194
20.4, -0.0192031
20.6, -0.0191292
20.8, -0.0192092
21, -0.0204196
21.2, -0.0208328
21.4, -0.0222777
21.6, -0.0229865
21.8, -0.0232473
22, -0.0237518
22.2, -0.0243268
22.4, -0.0237633
22.6, -0.0249243
22.8, -0.0239446
23, -0.0243122
23.2, -0.0241376
23.4, -0.0234718
23.6, -0.0223413
23.8, -0.022677
24, -0.0229677
24.2, -0.0230076
24.4, -0.0242393
24.6, -0.0238584
24.8, -0.0226205
25, -0.0221064
25.2, -0.0225675
25.4, -0.022671
25.6, -0.0221452
25.8, -0.0245673
26, -0.0243496
26.2, -0.0241143
26.4, -0.0250816
26.6, -0.0248842
26.8, -0.0236709
27, -0.024859
27.2, -0.0248186
27.4, -0.0231545
27.6, -0.0248734
27.8, -0.0263169
28, -0.0255613
28.2, -0.0265916
28.4, -0.0264847
28.6, -0.0264136
28.8, -0.0279662
29, -0.028063
29.2, -0.0268872
29.4, -0.027323
29.6, -0.0277545
29.8, -0.0266034
30, 0.336919, Step 2
30.2, 0.383429
30.4, 0.417153
30.6, 0.429441
30.8, 0.445994
31, 0.464668
31.2, 0.474046
31.4, 0.479121
31.6, 0.483441
31.8, 0.486645
32, 0.491681
32.2, 0.492131
32.4, 0.493466
32.6, 0.492658
32.8, 0.496044
33, 0.495787
33.2, 0.496813
33.4, 0.500197
33.6, 0.500048
33.8, 0.496718
34, 0.498779
34.2, 0.503502
34.4, 0.500089
34.6, 0.505145
34.8, 0.507869
35, 0.507691
35.2, 0.506193
35.4, 0.50817
35.6, 0.505194
35.8, 0.505703
36, 0.506981
36.2, 0.507383
36.4, 0.507205
36.6, 0.510475
36.8, 0.50748
37, 0.509609
37.2, 0.509406
37.4, 0.507022
37.6, 0.504883
37.8, 0.510118
38, 0.506047
38.2, 0.507173
38.4, 0.509672
38.6, 0.510366
38.8, 0.510784
39, 0.513436
39.2, 0.511412
39.4, 0.513678
39.6, 0.516813
39.8, 0.511939
40, 0.514101
40.2, 0.516098
40.4, 0.515284
40.6, 0.513607
40.8, 0.51758
41, 0.519031
41.2, 0.516802
41.4, 0.518568
41.6, 0.520295
41.8, 0.516539
42, 0.517888
42.2, 0.518462
42.4, 0.520072
42.6, 0.521574
42.8, 0.522688
43, 0.522233
43.2, 0.52259
43.4, 0.521623
43.6, 0.523335
43.8, 0.528049
44, 0.523987
44.2, 0.526054
44.4, 0.526886
44.6, 0.525931
44.8, 0.520525
45, 0.525495
45.2, 0.525691
45.4, 0.525366
45.6, 0.527273
45.8, 0.53051
46, 0.528042
46.2, 0.529193
46.4, 0.527652
46.6, 0.526606
46.8, 0.527076
47, 0.528695
47.2, 0.530537
47.4, 0.531648
47.6, 0.529059
47.8, 0.531777
48, 0.529842
48.2, 0.53078
48.4, 0.532551
48.6, 0.531702
48.8, 0.527583
49, 0.531526
49.2, 0.530454
49.4, 0.529629
49.6, 0.529968
49.8, 0.53529
50, 0.531953
50.2, 0.533187
50.4, 0.53422
50.6, 0.534327
50.8, 0.534443
51, 0.534539
51.2, 0.532943
51.4, 0.534641
51.6, 0.535962
51.8, 0.533591
52, 0.536614
52.2, 0.535059
52.4, 0.534874
52.6, 0.538428
52.8, 0.536603
53, 0.534969
53.2, 0.536513
53.4, 0.536744
53.6, 0.536507
53.8, 0.539846
54, 0.543267
54.2, 0.544553
54.4, 0.54179
54.6, 0.542987
54.8, 0.540404
55, 0.539911
55.2, 0.540145
55.4, 0.538687
55.6, 0.537794
55.8, 0.537942
56, 0.533595
56.2, 0.536033
56.4, 0.53824
56.6, 0.536465
56.8, 0.541515
57, 0.544358
57.2, 0.541521
57.4, 0.540535
57.6, 0.543476
57.8, 0.540141
58, 0.537777
58.2, 0.541143
58.4, 0.541018
58.6, 0.538023
58.8, 0.541648
59, 0.541313
59.2, 0.539365
59.4, 0.541478
59.6, 0.541715
59.8, 0.542153
60, 0.54549
60.2, 0.543243
60.4, 0.545414
60.6, 0.546049
60.8, 0.543383
61, 0.542946
61.2, 0.543759
61.4, 0.544857
61.6, 0.546826
61.8, 0.54772
62, 0.544831
62.2, 0.545523
62.4, 0.544724
62.6, 0.544325
62.8, 0.541419
63, 0.547888
63.2, 0.5476
63.4, 0.54791
63.6, 0.546818
63.8, 0.54941
64, 0.546912
64.2, 0.545464
64.4, 0.542726
64.6, 0.546194
64.8, 0.544641
65, 0.546434
65.2, 0.547682
65.4, 0.54819
65.6, 0.547241
65.8, 0.550993
66, 0.548451
66.2, 0.546841
66.4, 0.548391
66.6, 0.550183
66.8, 0.545378
67, 0.546135
67.2, 0.550887
67.4, 0.546828
67.6, 0.546949
67.8, 0.551937
68, 0.551076
68.2, 0.551955
68.4, 0.553604
68.6, 0.554269
68.8, 0.554813
69, 0.55378
69.2, 0.555898
69.4, 0.559478
69.6, 0.554148
69.8, 0.557377
70, 0.559181
70.2, 0.555487
70.4, 0.55739
70.6, 0.5567
70.8, 0.551563
71, 0.553588
71.2, 0.556775
71.4, 0.555599
71.6, 0.556405
71.8, 0.560496
72, 0.55984
72.2, 0.555444
72.4, 0.55671
72.6, 0.557887
72.8, 0.55703
73, 0.558208
73.2, 0.55774
73.4, 0.557091
73.6, 0.556755
73.8, 0.553367
74, 0.555681
74.2, 0.556632
74.4, 0.558394
74.6, 0.561953
74.8, 0.560722
75, 0.559507
75.2, 0.561704
75.4, 0.559882
75.6, 0.560667
75.8, 0.564809
76, 0.563874
76.2, 0.562596
76.4, 0.564271
76.6, 0.565373
76.8, 0.563563
77, 0.566325
77.2, 0.567254
77.4, 0.563843
77.6, 0.562963
77.8, 0.563435
78, 0.56363
78.2, 0.564007
78.4, 0.564144
78.6, 0.563136
78.8, 0.568012
79, 0.564822
79.2, 0.563016
79.4, 0.568019
79.6, 0.570881
79.8, 0.567785
80, 0.569264
80.2, 0.572177
80.4, 0.569218
80.6, 0.568885
80.8, 0.56792
81, 0.569781
81.2, 0.572261
81.4, 0.570505
81.6, 0.571983
81.8, 0.573883
82, 0.570524
82.2, 0.570495
82.4, 0.572032
82.6, 0.567456
82.8, 0.569071
83, 0.571777
83.2, 0.566234
83.4, 0.565539
83.6, 0.569372
83.8, 0.565782
84, 0.563704
84.2, 0.570337
84.4, 0.568724
84.6, 0.570702
84.8, 0.574049
85, 0.573377
85.2, 0.57187
85.4, 0.573452
85.6, 0.568372
85.8, 0.569718
86, 0.571616
86.2, 0.568419
86.4, 0.569156
86.6, 0.57403
86.8, 0.571285
87, 0.570056
87.2, 0.574638
87.4, 0.576383
87.6, 0.573668
87.8, 0.573323
88, 0.574819
88.2, 0.574209
88.4, 0.57352
88.6, 0.572525
88.8, 0.575697
89, 0.57337
89.2, 0.573653
89.4, 0.577086
89.6, 0.57423
89.8, 0.571682
90, 0.578575
90.2, 0.577464
90.4, 0.573102
90.6, 0.577532
90.8, 0.581425
91, 0.576344
91.2, 0.577588
91.4, 0.580334
91.6, 0.578734
91.8, 0.577835
92, 0.57757
92.2, 0.579277
92.4, 0.580827
92.6, 0.580574
92.8, 0.578885
93, 0.584933
93.2, 0.584653
93.4, 0.58201
93.6, 0.583625
93.8, 0.586941
94, 0.58154
94.2, 0.579046
94.4, 0.583603
94.6, 0.581825
94.8, 0.580481
95, 0.582834
95.2, 0.582461
95.4, 0.581856
95.6, 0.580764
95.8, 0.57866
96, 0.580095
96.2, 0.583824
96.4, 0.580499
96.6, 0.581371
96.8, 0.583385
97, 0.581194
97.2, 0.579611
97.4, 0.581058
97.6, 0.584458
97.8, 0.583813
98, 0.584664
98.2, 0.583751
98.4, 0.587048
98.6, 0.587368
98.8, 0.585386
99, 0.587891
99.2, 0.591886
99.4, 0.590205
99.6, 0.586527
99.8, 0.591412
100, 0.589864
100.2, 0.589107
100.4, 0.589089
100.6, 0.588657
100.8, 0.586751
101, 0.5849
101.2, 0.581424
101.4, 0.583719
101.6, 0.588115
101.8, 0.585221
102, 0.591147
102.2, 0.593746
102.4, 0.592309
102.6, 0.590747
102.8, 0.595843
103, 0.591353
103.2, 0.590502
