Time (s), Binding (nm)
0, 0, Step 1
0.2, 0.00038051
0.4, -0.00360713
0.6, -0.00449891
0.8, -0.00492041
1, -0.00412478
1.2, -0.00513311
1.4, -0.00463537
1.6, -0.0050117
1.8, -0.00526429
2, -0.00672529
2.2, -0.00634052
2.4, -0.00590692
2.6, -0.00586703
2.8, -0.00573839
3, -0.00705679
3.2, -0.00802581
3.4, -0.00944933
3.6, -0.00943483
3.8, -0.0107232
4, -0.0105334
4.2, -0.0105981
4.4, -0.0107903
4.6, -0.0119344
4.8, -0.0126301
5, -0.0136537
5.2, -0.013599
5.4, -0.0134718
5.6, -0.0146482
5.8, -0.0149834
6, -0.014817
6.2, -0.0150972
6.4, -0.0161373
6.6, -0.015893
6.8, -0.0157859
7, -0.0164915
7.2, -0.0175412
7.4, -0.0181978
7.6, -0.0190856
7.8, -0.0197495
8, -0.0202407
8.2, -0.0204875
8.4, -0.0205787
8.6, -0.0208654
8.8, -0.0225703
9, -0.0222151
9.2, -0.023125
9.4, -0.0241487
9.6, -0.0246363
9.8, -0.0230265
10, -0.0243062
10.2, -0.0245433
10.4, -0.0234464
10.6, -0.0238593
10.8, -0.024787
11, -0.0243302
11.2, -0.0265264
11.4, -0.0275544
11.6, -0.0277293
11.8, -0.0279893
12, -0.029772
12.2, -0.027132
12.4, -0.0276407
12.6, -0.0273227
12.8, -0.0260183
13, -0.0245021
13.2, -0.0256035
13.4, -0.0258085
13.6, -0.0259991
13.8, -0.027403
14, -0.0282311
14.2, -0.027844
14.4, -0.0269042
14.6, -0.027801
14.8, -0.0280474
15, -0.029322
15.2, -0.0305318
15.4, -0.0304676
15.6, -0.0304015
15.8, -0.0305261
16, -0.0284673
16.2, -0.0295873
16.4, -0.0312648
16.6, -0.0317477
16.8, -0.0327942
17, -0.0326609
17.2, -0.0323597
17.4, -0.0316475
17.6, -0.0304528
17.8, -0.0303619
18, -0.0307812
18.2, -0.0305744
18.4, -0.0308533
18.6, -0.0320814
18.8, -0.031551
19, -0.0323501
19.2, -0.0319681
19.4, -0.0335097
19.6, -0.0332664
19.8, -0.0331898
20, -0.0337889
20.2, -0.0343013
20.4, -0.0329035
20.6, -0.0337415
20.8, -0.0341743
21, -0.0342559
21.2, -0.0342938
21.4, -0.0347379
21.6, -0.0356457
21.8, -0.0365479
22, -0.0380015
22.2, -0.0374357
22.4, -0.0375985
22.6, -0.0368926
22.8, -0.0379596
23, -0.0377042
23.2, -0.0392992
23.4, -0.0397146
23.6, -0.0385852
23.8, -0.0384563
24, -0.0380745
24.2, -0.0363744
24.4, -0.0357555
24.6, -0.0383169
24.8, -0.0383743
25, -0.0383787
25.2, -0.0403263
25.4, -0.0420074
25.6, -0.0419886
25.8, -0.0413781
26, -0.0416897
26.2, -0.0425968
