Time (s), Binding (nm)
0, 0, Step 1
0.2, 1.99359e-005
0.4, 0.00228737
0.6, 0.00439702
0.8, 0.00282653
1, 0.00109132
1.2, 0.000161581
1.4, -0.000903766
1.6, -0.00512349
1.8, -0.00490804
2, -0.00466431
2.2, -0.00544172
2.4, -0.00790113
2.6, -0.00733825
2.8, -0.0081388
3, -0.00929189
3.2, -0.00884511
3.4, -0.00771808
3.6, -0.00836826
3.8, -0.00960664
4, -0.0086587
4.2, -0.0103968
4.4, -0.0109947
4.6, -0.0107378
4.8, -0.00978083
5, -0.0106317
5.2, -0.0104929
5.4, -0.0118481
5.6, -0.0118023
5.8, -0.0124705
6, -0.0140772
6.2, -0.0143287
6.4, -0.0143757
6.6, -0.014243
6.8, -0.0150094
7, -0.0148163
7.2, -0.0152206
7.4, -0.0160289
7.6, -0.016595
7.8, -0.0189259
8, -0.0195589
8.2, -0.0200874
8.4, -0.020458
8.6, -0.0207752
8.8, -0.019994
9, -0.0211035
9.2, -0.0205158
9.4, -0.021046
9.6, -0.0214821
9.8, -0.022056
10, -0.0207623
10.2, -0.0224133
10.4, -0.0225211
10.6, -0.0227961
10.8, -0.0222957
11, -0.0243086
11.2, -0.024058
11.4, -0.0241417
11.6, -0.0249714
11.8, -0.0265015
12, -0.0258979
12.2, -0.026932
12.4, -0.0265384
12.6, -0.0253002
12.8, -0.0241214
13, -0.0248501
13.2, -0.0239583
13.4, -0.0251381
13.6, -0.0266843
13.8, -0.0275641
14, -0.0275609
14.2, -0.0280625
14.4, -0.0286758
14.6, -0.0299362
14.8, -0.0300154
15, -0.0299112
15.2, -0.0299989
15.4, -0.029877
15.6, -0.0287093
15.8, -0.0289633
16, -0.0306002
16.2, -0.0330969
16.4, -0.0332805
16.6, -0.0342515
16.8, -0.0337383
17, -0.0311946
17.2, -0.030009
17.4, -0.0297788
17.6, -0.0301395
17.8, -0.0323899
18, -0.0339362
18.2, -0.0352513
18.4, -0.0363532
18.6, -0.0355959
18.8, -0.0350505
19, -0.0355432
19.2, -0.0349254
19.4, -0.0339717
19.6, -0.0361291
19.8, -0.0361711
20, -0.0366631
20.2, -0.0369754
20.4, -0.0385889
20.6, -0.0378643
20.8, -0.0376871
21, -0.0372369
21.2, -0.0372084
21.4, -0.0367421
21.6, -0.0369595
21.8, -0.0369909
22, -0.038748
22.2, -0.0389332
22.4, -0.0399033
22.6, -0.0404817
22.8, -0.0400847
23, -0.0396249
23.2, -0.0392926
23.4, -0.0376048
23.6, -0.0380572
