Time (s), Binding (nm)
0, 0, Step 1
0.2, -0.00605674
0.4, -0.0102413
0.6, -0.0119983
0.8, -0.0144997
1, -0.0167524
1.2, -0.0161375
1.4, -0.0159311
1.6, -0.0177346
1.8, -0.0180113
2, -0.0185181
2.2, -0.0201048
2.4, -0.0218721
2.6, -0.0230378
2.8, -0.0250276
3, -0.0248274
3.2, -0.0246241
3.4, -0.0244031
3.6, -0.0244325
3.8, -0.022634
4, -0.0241434
4.2, -0.0253904
4.4, -0.0266301
4.6, -0.0263109
4.8, -0.027518
5, -0.0263776
5.2, -0.0261627
5.4, -0.0253302
5.6, -0.0265852
5.8, -0.0271347
6, -0.0291633
6.2, -0.03008
6.4, -0.0308708
6.6, -0.0311005
6.8, -0.0308891
7, -0.0306392
7.2, -0.0305011
7.4, -0.032483
7.6, -0.0326051
7.8, -0.0350043
8, -0.0347201
8.2, -0.036163
8.4, -0.0356941
8.6, -0.0366924
8.8, -0.0354873
9, -0.0367459
9.2, -0.0383114
9.4, -0.0380451
9.6, -0.0378522
9.8, -0.0403268
10, -0.0402823
10.2, -0.0396383
10.4, -0.0414232
10.6, -0.0412378
10.8, -0.0396949
11, -0.039736
11.2, -0.0411687
11.4, -0.0394902
11.6, -0.039915
11.8, -0.039721
12, -0.0389163
12.2, -0.0385078
12.4, -0.0382424
12.6, -0.0380397
12.8, -0.0384951
13, -0.0395838
13.2, -0.038151
13.4, -0.0396376
13.6, -0.0402228
13.8, -0.0408689
14, -0.0414041
14.2, -0.042695
14.4, -0.0421163
14.6, -0.0424757
14.8, -0.0417326
15, -0.0417162
15.2, -0.0409475
15.4, -0.0417221
15.6, -0.0414175
15.8, -0.0417474
16, -0.0424109
16.2, -0.0424252
16.4, -0.0419769
16.6, -0.0430766
16.8, -0.0430681
17, -0.0433874
17.2, -0.0428816
17.4, -0.0432508
17.6, -0.0414479
17.8, -0.0430351
18, -0.0435146
18.2, -0.0445881
18.4, -0.0446897
18.6, -0.0455347
18.8, -0.04424
19, -0.0431517
19.2, -0.0438803
19.4, -0.0451157
19.6, -0.0476695
19.8, -0.0482246
20, -0.0482696
20.2, -0.0477005
20.4, -0.0470772
20.6, -0.045879
20.8, -0.0456851
21, -0.0469395
21.2, -0.0483111
21.4, -0.048574
21.6, -0.048094
21.8, -0.0494283
22, -0.0495934
22.2, -0.0477668
22.4, -0.0480286
22.6, -0.0476771
22.8, -0.0464426
23, -0.0453552
23.2, -0.0455387
23.4, -0.0450052
23.6, -0.046192
23.8, -0.046722
24, -0.0478888
24.2, -0.0493647
24.4, -0.0501404
24.6, -0.0491691
24.8, -0.0504112
25, -0.0508758
25.2, -0.0507407
25.4, -0.0507855
25.6, -0.051403
25.8, -0.0499831
26, -0.049831
26.2, -0.0507809
26.4, -0.0508756
26.6, -0.0506763
26.8, -0.0528121
27, -0.0534794
27.2, -0.0522081
27.4, -0.0524045
27.6, -0.0528891
27.8, -0.0520008
28, -0.0519735
28.2, -0.0515892
28.4, -0.0515258
28.6, -0.0519012
28.8, -0.0513745
29, -0.0507165
29.2, -0.0523175
29.4, -0.0523388
29.6, -0.051739
29.8, -0.0519297
30, 0.30374, Step 2
30.2, 0.442118
30.4, 0.518814
30.6, 0.575713
30.8, 0.620773
31, 0.682676
31.2, 0.711995
31.4, 0.733959
31.6, 0.748089
31.8, 0.759818
32, 0.770419
32.2, 0.778122
32.4, 0.785256
32.6, 0.792856
32.8, 0.799528
33, 0.806311
33.2, 0.813839
33.4, 0.820125
33.6, 0.827131
33.8, 0.834317
34, 0.841759
34.2, 0.849009
34.4, 0.854568
34.6, 0.862083
34.8, 0.868809
35, 0.874504
35.2, 0.88099
35.4, 0.890082
35.6, 0.896725
35.8, 0.90201
36, 0.908499
36.2, 0.913235
36.4, 0.918113
36.6, 0.92385
36.8, 0.931115
37, 0.938174
37.2, 0.946497
37.4, 0.95113
37.6, 0.958038
37.8, 0.963295
38, 0.967676
38.2, 0.97062
38.4, 0.976778
38.6, 0.97974
38.8, 0.983833
39, 0.989473
39.2, 0.995371
39.4, 1.00073
39.6, 1.00452
39.8, 1.01021
40, 1.01341
40.2, 1.01699
40.4, 1.02061
40.6, 1.02675
40.8, 1.03202
41, 1.03781
41.2, 1.04286
41.4, 1.0484
41.6, 1.0522
41.8, 1.05526
42, 1.05933
42.2, 1.06376
42.4, 1.06643
42.6, 1.07071
42.8, 1.07597
43, 1.07953
43.2, 1.08368
43.4, 1.08767
43.6, 1.09184
43.8, 1.09467
44, 1.09817
44.2, 1.10147
44.4, 1.10511
44.6, 1.10784
44.8, 1.11164
45, 1.11515
45.2, 1.11874
45.4, 1.12312
45.6, 1.12817
45.8, 1.13124
46, 1.13473
46.2, 1.13693
46.4, 1.14093
46.6, 1.14413
46.8, 1.14663
47, 1.14926
47.2, 1.15375
47.4, 1.155
47.6, 1.1579
47.8, 1.16151
48, 1.16574
48.2, 1.17003
48.4, 1.17412
48.6, 1.17763
48.8, 1.18125
49, 1.18484
49.2, 1.18719
49.4, 1.19121
49.6, 1.19467
49.8, 1.19593
50, 1.19816
50.2, 1.201
50.4, 1.20174
50.6, 1.20391
50.8, 1.20695
51, 1.20941
51.2, 1.21261
51.4, 1.21612
51.6, 1.21683
51.8, 1.21992
52, 1.22259
52.2, 1.22355
52.4, 1.22539
52.6, 1.22779
52.8, 1.23027
53, 1.23185
53.2, 1.23455
53.4, 1.23792
53.6, 1.24198
53.8, 1.2468
54, 1.2497
54.2, 1.2515
54.4, 1.25329
54.6, 1.25613
54.8, 1.25664
55, 1.2591
55.2, 1.26227
55.4, 1.26437
55.6, 1.26459
55.8, 1.26803
56, 1.27047
56.2, 1.27326
56.4, 1.27587
56.6, 1.27908
56.8, 1.27969
57, 1.28138
57.2, 1.28428
57.4, 1.28588
57.6, 1.28736
57.8, 1.29081
58, 1.29355
58.2, 1.29467
58.4, 1.29697
58.6, 1.3008
58.8, 1.30319
59, 1.30531
59.2, 1.30801
59.4, 1.30984
59.6, 1.31205
59.8, 1.31304
60, 1.31489
60.2, 1.31545
60.4, 1.31967
60.6, 1.32085
60.8, 1.32319
61, 1.32408
61.2, 1.32653
61.4, 1.32768
61.6, 1.33001
61.8, 1.33136
62, 1.33418
62.2, 1.33586
62.4, 1.33659
62.6, 1.33715
62.8, 1.33833
63, 1.33883
63.2, 1.3421
63.4, 1.3444
63.6, 1.34578
63.8, 1.34972
64, 1.35318
64.2, 1.35315
64.4, 1.35488
64.6, 1.35771
64.8, 1.36067
65, 1.36253
65.2, 1.3652
65.4, 1.36718
65.6, 1.36937
65.8, 1.36991
66, 1.37009
66.2, 1.37196
66.4, 1.37295
66.6, 1.37405
66.8, 1.37475
67, 1.37691
67.2, 1.37871
67.4, 1.38032
67.6, 1.38309
67.8, 1.38386
68, 1.38622
68.2, 1.38677
68.4, 1.39067
68.6, 1.39207
68.8, 1.39484
69, 1.39558
69.2, 1.39937
69.4, 1.3994
69.6, 1.40028
69.8, 1.40127
70, 1.40344
70.2, 1.40372
70.4, 1.4057
70.6, 1.40717
70.8, 1.40792
71, 1.40914
71.2, 1.41065
71.4, 1.41171
71.6, 1.41416
71.8, 1.41675
72, 1.41861
72.2, 1.4187
72.4, 1.42186
72.6, 1.42194
72.8, 1.42352
73, 1.42498
73.2, 1.42761
73.4, 1.42771
73.6, 1.42966
73.8, 1.43097
74, 1.43201
74.2, 1.43274
74.4, 1.43372
74.6, 1.43468
74.8, 1.43783
75, 1.43934
75.2, 1.44085
75.4, 1.44233
75.6, 1.44397
75.8, 1.44355
76, 1.44372
76.2, 1.44579
76.4, 1.44723
76.6, 1.45006
76.8, 1.45121
77, 1.45415
77.2, 1.45524
77.4, 1.45608
77.6, 1.456
77.8, 1.45733
78, 1.45882
78.2, 1.46078
78.4, 1.46268
78.6, 1.46557
78.8, 1.46732
79, 1.46775
79.2, 1.46949
79.4, 1.47116
79.6, 1.47181
79.8, 1.47341
80, 1.47511
80.2, 1.47605
80.4, 1.47771
80.6, 1.47811
80.8, 1.47806
81, 1.48039
81.2, 1.48154
81.4, 1.48183
81.6, 1.48501
81.8, 1.48858
82, 1.49003
82.2, 1.49325
82.4, 1.49584
82.6, 1.49526
82.8, 1.49546
83, 1.4968
83.2, 1.49619
83.4, 1.49619
83.6, 1.4989
83.8, 1.50074
84, 1.50092
84.2, 1.50157
84.4, 1.50284
84.6, 1.50269
84.8, 1.5051
85, 1.50668
85.2, 1.50789
85.4, 1.51128
85.6, 1.5141
85.8, 1.51493
86, 1.51606
86.2, 1.51682
86.4, 1.51667
86.6, 1.51644
86.8, 1.51645
87, 1.51857
87.2, 1.51968
87.4, 1.51975
87.6, 1.52041
87.8, 1.52111
88, 1.52007
88.2, 1.52267
88.4, 1.52454
88.6, 1.52747
88.8, 1.52931
89, 1.53269
89.2, 1.53197
89.4, 1.53309
89.6, 1.53359
89.8, 1.53476
90, 1.53375
90.2, 1.53668
90.4, 1.53784
90.6, 1.53847
90.8, 1.54151
91, 1.54492
91.2, 1.54679
91.4, 1.54797
91.6, 1.54945
91.8, 1.54831
92, 1.54784
92.2, 1.54781
92.4, 1.5492
92.6, 1.55201
92.8, 1.55417
93, 1.55506
93.2, 1.55687
93.4, 1.55957
93.6, 1.55943
93.8, 1.55957
94, 1.56274
94.2, 1.56243
94.4, 1.56335
94.6, 1.56493
94.8, 1.56507
95, 1.56437
95.2, 1.56645
95.4, 1.5655
95.6, 1.56389
95.8, 1.56675
96, 1.56753
96.2, 1.56927
96.4, 1.57017
96.6, 1.5717
96.8, 1.5725
97, 1.57536
97.2, 1.57511
97.4, 1.57679
97.6, 1.57993
97.8, 1.58012
98, 1.57965
98.2, 1.58019
98.4, 1.58285
98.6, 1.58323
98.8, 1.584
99, 1.58792
99.2, 1.58989
99.4, 1.5918
99.6, 1.59259
99.8, 1.59387
100, 1.59174
100.2, 1.59165
100.4, 1.59007
100.6, 1.59148
100.8, 1.59314
101, 1.59607
101.2, 1.59787
101.4, 1.60034
101.6, 1.59931
101.8, 1.5989
102, 1.5991
102.2, 1.6018
102.4, 1.60171
102.6, 1.60347
102.8, 1.60509
103, 1.60589
103.2, 1.60612
103.4, 1.60643
103.6, 1.60852
103.8, 1.60979
104, 1.61061
104.2, 1.61006
104.4, 1.61086
104.6, 1.61075
104.8, 1.61179
105, 1.61196
105.2, 1.61492
105.4, 1.6157
105.6, 1.61747
105.8, 1.61814
106, 1.61961
106.2, 1.61917
106.4, 1.62251
106.6, 1.62128
106.8, 1.62141
107, 1.62322
107.2, 1.6236
107.4, 1.62357
107.6, 1.62686
107.8, 1.62804
108, 1.62844
108.2, 1.62949
108.4, 1.63045
108.6, 1.63046
108.8, 1.63324
109, 1.63394
109.2, 1.63475
109.4, 1.63571
109.6, 1.63585
109.8, 1.63511
110, 1.63524
110.2, 1.63667
110.4, 1.63653
110.6, 1.63925
110.8, 1.64045
111, 1.6425
111.2, 1.64415
111.4, 1.64535
111.6, 1.64629
111.8, 1.6472
112, 1.64809
112.2, 1.64841
112.4, 1.65003
112.6, 1.65017
112.8, 1.65058
113, 1.6521
113.2, 1.65321
113.4, 1.65373
113.6, 1.65426
113.8, 1.65596
114, 1.6566
114.2, 1.65755
114.4, 1.65949
114.6, 1.66102
114.8, 1.66052
115, 1.66034
115.2, 1.65984
115.4, 1.65993
115.6, 1.65993
115.8, 1.66266
116, 1.66314
116.2, 1.6634
116.4, 1.66449
116.6, 1.6654
116.8, 1.6665
117, 1.66972
117.2, 1.67077
117.4, 1.67131
117.6, 1.67219
117.8, 1.67249
118, 1.6714
118.2, 1.67369
118.4, 1.67501
118.6, 1.6767
118.8, 1.67707
119, 1.67743
119.2, 1.67727
119.4, 1.67792
119.6, 1.67785
119.8, 1.6785
120, 1.68059
120.2, 1.6822
120.4, 1.68342
120.6, 1.68301
120.8, 1.68246
121, 1.68229
121.2, 1.68219
121.4, 1.68234
121.6, 1.68263
121.8, 1.68643
122, 1.68842
122.2, 1.68847
122.4, 1.68837
122.6, 1.69096
122.8, 1.68964
123, 1.68962
123.2, 1.69156
123.4, 1.69368
123.6, 1.69387
123.8, 1.69574
124, 1.69477
124.2, 1.69597
124.4, 1.69805
124.6, 1.69917
124.8, 1.69971
125, 1.70218
125.2, 1.70156
125.4, 1.69926
125.6, 1.70148
125.8, 1.70058
126, 1.70199
126.2, 1.70388
126.4, 1.70505
126.6, 1.70349
126.8, 1.70606
127, 1.70643
127.2, 1.70695
127.4, 1.70851
127.6, 1.70975
127.8, 1.70935
128, 1.7096
128.2, 1.71033
128.4, 1.71021
128.6, 1.71171
128.8, 1.71264
129, 1.71485
129.2, 1.7146
129.4, 1.71624
129.6, 1.71761
129.8, 1.71892
130, 1.71901
130.2, 1.72146
130.4, 1.72106
130.6, 1.72278
130.8, 1.72256
131, 1.72408
131.2, 1.7249
131.4, 1.72719
131.6, 1.72625
131.8, 1.72663
132, 1.72692
132.2, 1.72753
132.4, 1.7285
132.6, 1.72818
132.8, 1.73035
133, 1.72994
133.2, 1.72978
133.4, 1.73004
133.6, 1.73312
133.8, 1.73401
134, 1.73537
134.2, 1.73719
134.4, 1.73763
134.6, 1.73804
134.8, 1.73829
135, 1.73913
135.2, 1.73852
135.4, 1.73905
135.6, 1.73789
135.8, 1.73821
136, 1.73879
136.2, 1.74036
136.4, 1.74121
136.6, 1.74309
136.8, 1.7464
137, 1.74724
137.2, 1.74798
137.4, 1.74989
137.6, 1.75069
137.8, 1.74804
138, 1.7492
138.2, 1.74907
138.4, 1.74848
138.6, 1.7496
138.8, 1.75303
139, 1.75338
139.2, 1.75542
139.4, 1.75438
139.6, 1.75446
139.8, 1.75436
140, 1.75354
140.2, 1.75298
140.4, 1.75353
140.6, 1.75428
140.8, 1.75413
141, 1.75774
141.2, 1.75823
141.4, 1.7599
141.6, 1.75975
141.8, 1.76008
142, 1.75864
142.2, 1.76037
142.4, 1.76261
142.6, 1.76411
142.8, 1.76583
143, 1.76807
143.2, 1.76841
143.4, 1.76892
143.6, 1.76932
143.8, 1.76964
144, 1.77086
144.2, 1.77018
144.4, 1.77117
144.6, 1.77308
144.8, 1.77158
145, 1.77219
145.2, 1.77481
145.4, 1.77453
145.6, 1.77529
145.8, 1.77915
146, 1.77861
146.2, 1.77961
146.4, 1.78065
146.6, 1.78103
146.8, 1.7808
147, 1.78273
147.2, 1.78158
147.4, 1.78186
147.6, 1.7831
147.8, 1.78218
148, 1.78108
148.2, 1.78182
148.4, 1.78142
148.6, 1.78069
148.8, 1.78291
149, 1.78494
149.2, 1.78652
149.4, 1.78935
149.6, 1.79043
149.8, 1.79118
150, 1.18838, Step 3
150.2, 1.07175
150.4, 1.00885
150.6, 0.97311
150.8, 0.94572
151, 0.898252
151.2, 0.884942
151.4, 0.875387
151.6, 0.867134
151.8, 0.861989
152, 0.856241
152.2, 0.851619
152.4, 0.849832
152.6, 0.847223
152.8, 0.844991
153, 0.844254
153.2, 0.842956
153.4, 0.841191
153.6, 0.84
153.8, 0.838939
154, 0.838064
154.2, 0.837643
154.4, 0.83573
154.6, 0.83549
154.8, 0.833408
155, 0.832996
155.2, 0.830923
155.4, 0.832223
155.6, 0.830968
155.8, 0.831562
156, 0.830536
156.2, 0.830467
156.4, 0.827847
156.6, 0.826785
156.8, 0.825484
157, 0.824998
157.2, 0.824325
157.4, 0.822636
157.6, 0.822844
157.8, 0.822087
158, 0.82161
158.2, 0.820444
158.4, 0.821921
158.6, 0.820699
158.8, 0.820773
159, 0.819438
159.2, 0.819464
159.4, 0.817377
159.6, 0.818113
159.8, 0.816404
160, 0.816613
160.2, 0.814917
160.4, 0.815141
160.6, 0.812913
160.8, 0.813765
161, 0.813008
161.2, 0.81319
161.4, 0.812538
161.6, 0.812575
161.8, 0.811756
162, 0.812408
162.2, 0.812466
162.4, 0.812721
162.6, 0.812365
162.8, 0.812099
163, 0.810588
163.2, 0.810121
163.4, 0.809049
163.6, 0.808008
163.8, 0.807642
164, 0.806964
164.2, 0.805413
164.4, 0.806039
164.6, 0.807203
164.8, 0.8053
165, 0.806122
165.2, 0.806097
165.4, 0.805091
165.6, 0.804451
165.8, 0.804067
166, 0.802794
166.2, 0.803045
166.4, 0.802841
166.6, 0.801802
166.8, 0.803081
167, 0.802354
167.2, 0.803013
167.4, 0.802048
167.6, 0.802221
167.8, 0.802399
168, 0.801722
168.2, 0.799429
168.4, 0.798144
168.6, 0.797661
168.8, 0.796614
169, 0.797409
169.2, 0.797562
169.4, 0.798932
169.6, 0.797966
169.8, 0.797488
170, 0.79667
170.2, 0.797266
170.4, 0.795739
170.6, 0.796087
170.8, 0.796512
171, 0.795752
171.2, 0.795591
171.4, 0.796208
171.6, 0.795846
171.8, 0.794225
172, 0.794129
172.2, 0.794482
172.4, 0.794165
172.6, 0.79409
172.8, 0.795248
173, 0.794294
173.2, 0.792492
173.4, 0.791834
173.6, 0.792138
173.8, 0.792128
174, 0.792034
174.2, 0.792471
174.4, 0.792103
174.6, 0.790707
174.8, 0.790132
175, 0.790913
175.2, 0.79032
175.4, 0.79071
175.6, 0.790656
175.8, 0.790218
176, 0.789797
176.2, 0.789653
176.4, 0.789317
176.6, 0.788425
176.8, 0.788487
177, 0.787056
177.2, 0.787468
177.4, 0.787067
177.6, 0.787608
177.8, 0.786626
178, 0.787865
178.2, 0.787025
178.4, 0.787551
178.6, 0.788471
178.8, 0.788063
179, 0.788133
179.2, 0.788589
179.4, 0.788542
179.6, 0.78855
179.8, 0.789814
180, 0.94955, Step 4
180.2, 0.944924
180.4, 0.940269
180.6, 0.941151
180.8, 0.940582
181, 0.94066
181.2, 0.944305
181.4, 0.950099
181.6, 0.957519
181.8, 0.965523
182, 0.973793
182.2, 0.982285
182.4, 0.990009
182.6, 0.997666
182.8, 1.00516
183, 1.01277
183.2, 1.02048
183.4, 1.02711
183.6, 1.03433
183.8, 1.04294
184, 1.04963
184.2, 1.056
184.4, 1.06408
184.6, 1.06941
184.8, 1.07439
185, 1.08027
185.2, 1.08558
185.4, 1.08939
185.6, 1.09578
185.8, 1.10108
186, 1.1062
186.2, 1.10867
186.4, 1.11314
186.6, 1.11646
186.8, 1.11824
187, 1.12162
187.2, 1.12442
187.4, 1.12779
187.6, 1.13063
187.8, 1.13467
188, 1.13499
188.2, 1.1377
188.4, 1.13943
188.6, 1.14066
188.8, 1.1426
189, 1.14671
189.2, 1.14944
189.4, 1.15242
189.6, 1.15338
189.8, 1.15446
190, 1.15544
190.2, 1.15516
190.4, 1.15561
190.6, 1.15874
190.8, 1.16121
191, 1.16198
191.2, 1.16551
191.4, 1.16695
191.6, 1.16775
191.8, 1.16875
