Time (s), Binding (nm)
0, 0, Step 1
0.2, -0.000207382
0.4, -0.00163404
0.6, -0.00232996
0.8, -0.00341141
1, -0.0055047
1.2, -0.00626458
1.4, -0.00799305
1.6, -0.00878735
1.8, -0.0090872
2, -0.00951995
2.2, -0.0108871
2.4, -0.0102921
2.6, -0.0117077
2.8, -0.0137147
3, -0.0123724
3.2, -0.0129129
3.4, -0.0131996
3.6, -0.0116986
3.8, -0.0100893
4, -0.0100393
4.2, -0.00979125
4.4, -0.0101071
4.6, -0.0112988
4.8, -0.0117643
5, -0.0142157
5.2, -0.0136654
5.4, -0.0132776
5.6, -0.0130597
5.8, -0.0136783
6, -0.0138567
6.2, -0.0148203
6.4, -0.0154285
6.6, -0.0153455
6.8, -0.0151784
7, -0.0149105
7.2, -0.0149978
7.4, -0.0153154
7.6, -0.0153287
7.8, -0.0162072
8, -0.0163473
8.2, -0.0159057
8.4, -0.0168573
8.6, -0.0180756
8.8, -0.0178471
9, -0.0176547
9.2, -0.0175134
9.4, -0.0165955
9.6, -0.0167233
9.8, -0.0172521
10, -0.0173104
10.2, -0.0184958
10.4, -0.0194133
10.6, -0.0201147
10.8, -0.0204141
11, -0.0205891
11.2, -0.019588
11.4, -0.0203246
11.6, -0.0196878
11.8, -0.0195562
12, -0.0201817
12.2, -0.0206287
12.4, -0.0203466
12.6, -0.020435
12.8, -0.0204134
13, -0.0215668
13.2, -0.0224468
13.4, -0.0229202
13.6, -0.0237994
13.8, -0.0248434
14, -0.0238621
14.2, -0.0242302
14.4, -0.0233949
14.6, -0.023829
14.8, -0.0232826
15, -0.0234553
15.2, -0.0236193
15.4, -0.0241285
15.6, -0.0246346
15.8, -0.025772
16, -0.0258975
16.2, -0.0267732
16.4, -0.0281352
16.6, -0.0283706
16.8, -0.0282219
17, -0.0287033
17.2, -0.0271137
17.4, -0.0265176
17.6, -0.026824
17.8, -0.0271115
18, -0.0272238
18.2, -0.0285975
18.4, -0.0284228
18.6, -0.0284391
18.8, -0.0279147
19, -0.0266711
19.2, -0.0268978
19.4, -0.0279989
19.6, -0.0273831
19.8, -0.0280736
20, -0.0298275
20.2, -0.0308547
20.4, -0.030442
20.6, -0.0305006
20.8, -0.0300245
21, -0.0303351
21.2, -0.0288993
21.4, -0.0285253
21.6, -0.0292762
21.8, -0.0303527
22, -0.0302112
22.2, -0.0311057
22.4, -0.0316552
22.6, -0.0314927
22.8, -0.0311048
23, -0.0307474
23.2, -0.0305964
23.4, -0.0304031
23.6, -0.0299483
23.8, -0.0305991
24, -0.0300112
24.2, -0.0298675
24.4, -0.0291277
24.6, -0.0294501
24.8, -0.0285138
25, -0.0307238
25.2, -0.0299259
25.4, -0.0307644
25.6, -0.0320026
25.8, -0.0322706
26, -0.0314815
26.2, -0.0347317
26.4, -0.0353809
26.6, -0.0350126
26.8, -0.0354319
27, -0.0357563
27.2, -0.0337826
27.4, -0.0336623
27.6, -0.0339906
27.8, -0.032647
28, -0.0312878
28.2, -0.0319186
28.4, -0.0319829
28.6, -0.0305251
28.8, -0.032596
29, -0.0333233
29.2, -0.0336955
29.4, -0.0345614
29.6, -0.0347849
29.8, -0.0341999
30, 0.267703, Step 2
30.2, 0.384921
30.4, 0.457645
30.6, 0.507683
30.8, 0.545943
31, 0.605197
31.2, 0.634668
31.4, 0.656861
31.6, 0.675688
31.8, 0.691503
32, 0.702785
32.2, 0.715575
32.4, 0.725061
32.6, 0.73402
32.8, 0.740744
33, 0.749009
33.2, 0.756837
33.4, 0.763262
33.6, 0.769288
33.8, 0.777869
34, 0.78489
34.2, 0.789169
34.4, 0.798886
34.6, 0.80533
34.8, 0.813317
35, 0.818214
35.2, 0.826241
35.4, 0.831705
35.6, 0.838825
35.8, 0.842051
36, 0.850351
36.2, 0.8549
36.4, 0.860903
36.6, 0.868543
36.8, 0.8763
37, 0.882747
37.2, 0.889165
37.4, 0.894622
37.6, 0.898748
37.8, 0.904711
38, 0.909004
38.2, 0.91629
38.4, 0.921647
38.6, 0.926791
38.8, 0.933163
39, 0.939533
39.2, 0.942926
39.4, 0.948869
39.6, 0.955236
39.8, 0.959509
40, 0.964475
40.2, 0.969883
40.4, 0.976288
40.6, 0.979687
40.8, 0.984253
41, 0.98805
41.2, 0.993724
41.4, 0.997754
41.6, 1.00259
41.8, 1.00557
42, 1.01237
42.2, 1.01612
42.4, 1.01776
42.6, 1.02256
42.8, 1.029
43, 1.02988
43.2, 1.03419
43.4, 1.04249
43.6, 1.04598
43.8, 1.0498
44, 1.05474
44.2, 1.05949
44.4, 1.06116
44.6, 1.06422
44.8, 1.06883
45, 1.07343
45.2, 1.07515
45.4, 1.07971
45.6, 1.08496
45.8, 1.08775
46, 1.0899
46.2, 1.09535
46.4, 1.09768
46.6, 1.10061
46.8, 1.10338
47, 1.10795
47.2, 1.11258
47.4, 1.11715
47.6, 1.11864
47.8, 1.12241
48, 1.12586
48.2, 1.12644
48.4, 1.12712
48.6, 1.13271
48.8, 1.1346
49, 1.13725
49.2, 1.14151
49.4, 1.14752
49.6, 1.15041
49.8, 1.15251
50, 1.15659
50.2, 1.15953
50.4, 1.16056
50.6, 1.16309
50.8, 1.16573
51, 1.16764
51.2, 1.16846
51.4, 1.17164
51.6, 1.17537
51.8, 1.17943
52, 1.18257
52.2, 1.18721
52.4, 1.19025
52.6, 1.19113
52.8, 1.19204
53, 1.19465
53.2, 1.19574
53.4, 1.19852
53.6, 1.2005
53.8, 1.20281
54, 1.20452
54.2, 1.20666
54.4, 1.20938
54.6, 1.21395
54.8, 1.21658
55, 1.21802
55.2, 1.22228
55.4, 1.22335
55.6, 1.2237
55.8, 1.22619
56, 1.2308
56.2, 1.23055
56.4, 1.23198
56.6, 1.23623
56.8, 1.23807
57, 1.23737
57.2, 1.24248
57.4, 1.24376
57.6, 1.24595
57.8, 1.24771
58, 1.25033
58.2, 1.25144
58.4, 1.25526
58.6, 1.25384
58.8, 1.25621
59, 1.25971
59.2, 1.2612
59.4, 1.26185
59.6, 1.26673
59.8, 1.27036
60, 1.27074
60.2, 1.27312
60.4, 1.27502
60.6, 1.27573
60.8, 1.27633
61, 1.2801
61.2, 1.28194
61.4, 1.28288
61.6, 1.28432
61.8, 1.28857
62, 1.28959
62.2, 1.28851
62.4, 1.29336
62.6, 1.29638
62.8, 1.29602
63, 1.29847
63.2, 1.30317
63.4, 1.30358
63.6, 1.30625
63.8, 1.30817
64, 1.31003
64.2, 1.31283
64.4, 1.3151
64.6, 1.31388
64.8, 1.31503
65, 1.31657
65.2, 1.31473
65.4, 1.31529
65.6, 1.31738
65.8, 1.31858
66, 1.32032
66.2, 1.32302
66.4, 1.32703
66.6, 1.32957
66.8, 1.33193
67, 1.33299
67.2, 1.3359
67.4, 1.33479
67.6, 1.33553
67.8, 1.33763
68, 1.3393
68.2, 1.33921
68.4, 1.34231
68.6, 1.34335
68.8, 1.34451
69, 1.34574
69.2, 1.3478
69.4, 1.35026
69.6, 1.35137
69.8, 1.35071
70, 1.35142
70.2, 1.35308
70.4, 1.35312
70.6, 1.35715
70.8, 1.36109
71, 1.36386
71.2, 1.36508
71.4, 1.36707
71.6, 1.36701
71.8, 1.36664
72, 1.36774
72.2, 1.36823
72.4, 1.36932
72.6, 1.37255
72.8, 1.3746
73, 1.37492
73.2, 1.37754
73.4, 1.37762
73.6, 1.37723
73.8, 1.37937
74, 1.38137
74.2, 1.38415
74.4, 1.38631
74.6, 1.38698
74.8, 1.38911
75, 1.3904
75.2, 1.38874
75.4, 1.39161
75.6, 1.39242
75.8, 1.39269
76, 1.39423
76.2, 1.39643
76.4, 1.39726
76.6, 1.39947
76.8, 1.40059
77, 1.39997
77.2, 1.40273
77.4, 1.40287
77.6, 1.40433
77.8, 1.40644
78, 1.40874
78.2, 1.40881
78.4, 1.41076
78.6, 1.41193
78.8, 1.41258
79, 1.41612
79.2, 1.41567
79.4, 1.41539
79.6, 1.41761
79.8, 1.41845
80, 1.41818
80.2, 1.42132
80.4, 1.42506
80.6, 1.42558
80.8, 1.4254
81, 1.42703
81.2, 1.42798
81.4, 1.42625
81.6, 1.42746
81.8, 1.4294
82, 1.43046
82.2, 1.43062
82.4, 1.43344
82.6, 1.43592
82.8, 1.43756
83, 1.43687
83.2, 1.43995
83.4, 1.442
83.6, 1.44136
83.8, 1.4428
84, 1.44473
84.2, 1.4442
84.4, 1.44483
84.6, 1.44746
84.8, 1.44905
85, 1.45114
85.2, 1.45224
85.4, 1.45369
85.6, 1.45437
85.8, 1.45452
86, 1.45454
86.2, 1.45548
86.4, 1.45607
86.6, 1.45718
86.8, 1.45997
87, 1.46062
87.2, 1.46288
87.4, 1.46516
87.6, 1.46372
87.8, 1.46385
88, 1.46656
88.2, 1.46763
88.4, 1.46535
88.6, 1.4676
88.8, 1.46801
89, 1.46868
89.2, 1.4696
89.4, 1.47467
89.6, 1.4756
89.8, 1.47837
90, 1.47717
90.2, 1.47779
90.4, 1.47846
90.6, 1.48075
90.8, 1.47919
91, 1.48288
91.2, 1.48383
91.4, 1.48078
91.6, 1.48334
91.8, 1.48616
