Time (s), Binding (nm)
0, 0, Step 1
0.2, -0.00191269
0.4, -0.00420026
0.6, -0.00601375
0.8, -0.00685238
1, -0.00727023
1.2, -0.00805397
1.4, -0.00865253
1.6, -0.00904159
1.8, -0.00998876
2, -0.0116186
2.2, -0.0134093
2.4, -0.0131048
2.6, -0.0134531
2.8, -0.0132002
3, -0.0129983
3.2, -0.012832
3.4, -0.0142949
3.6, -0.0152558
3.8, -0.0175157
4, -0.0193227
4.2, -0.0191887
4.4, -0.0205495
4.6, -0.0223874
4.8, -0.0225023
5, -0.0226858
5.2, -0.0232557
5.4, -0.0226193
5.6, -0.0226557
5.8, -0.023198
6, -0.0242214
6.2, -0.0251697
6.4, -0.0263464
6.6, -0.0252874
6.8, -0.0249812
7, -0.0246608
7.2, -0.026041
7.4, -0.0271127
7.6, -0.0290568
7.8, -0.0300001
8, -0.0298501
8.2, -0.029838
8.4, -0.0295026
8.6, -0.028816
8.8, -0.0292504
9, -0.0304958
9.2, -0.0302256
9.4, -0.0306807
9.6, -0.0322975
9.8, -0.032635
10, -0.0327542
10.2, -0.0323408
10.4, -0.033141
10.6, -0.0322278
10.8, -0.0326661
11, -0.0331133
11.2, -0.035479
11.4, -0.0354478
11.6, -0.0360504
11.8, -0.0366985
12, -0.0362677
12.2, -0.0349596
12.4, -0.0352386
12.6, -0.0351998
12.8, -0.034436
13, -0.0358192
13.2, -0.0352452
13.4, -0.0357413
13.6, -0.0370315
13.8, -0.0366732
14, -0.0351146
14.2, -0.0353644
14.4, -0.0351815
14.6, -0.0348894
14.8, -0.0366158
15, -0.0381847
15.2, -0.0390444
15.4, -0.0397263
15.6, -0.0392511
15.8, -0.0399785
16, -0.0393381
16.2, -0.0408105
16.4, -0.0405962
16.6, -0.0413865
16.8, -0.0408008
17, -0.0423894
17.2, -0.0408381
17.4, -0.0415526
17.6, -0.0421861
17.8, -0.0416537
18, -0.0413528
18.2, -0.043136
18.4, -0.0424289
18.6, -0.0423369
18.8, -0.0433271
19, -0.0436656
19.2, -0.0438934
19.4, -0.0447971
19.6, -0.0459145
19.8, -0.0456106
20, -0.0470953
20.2, -0.0468648
20.4, -0.0471961
20.6, -0.0453517
20.8, -0.0465243
21, -0.0462973
21.2, -0.0468385
21.4, -0.0461584
21.6, -0.0490237
21.8, -0.0483332
22, -0.0475503
22.2, -0.0469661
22.4, -0.047899
22.6, -0.0473441
22.8, -0.0476351
23, -0.0488216
23.2, -0.0498266
23.4, -0.0490381
23.6, -0.0485677
23.8, -0.0489517
24, -0.048208
24.2, -0.0488456
24.4, -0.0494798
24.6, -0.0493762
24.8, -0.0495171
25, -0.0491834
25.2, -0.0487236
25.4, -0.0501066
25.6, -0.0501669
25.8, -0.0510581
26, -0.0509899
26.2, -0.0507789
26.4, -0.0503244
26.6, -0.050977
26.8, -0.050474
27, -0.050043
27.2, -0.0516696
27.4, -0.0512615
27.6, -0.049673
27.8, -0.0500454
28, -0.0512165
28.2, -0.0505425
28.4, -0.0506645
28.6, -0.0527413
28.8, -0.0529299
29, -0.0534431
29.2, -0.0531383
29.4, -0.0539401
29.6, -0.0538554
29.8, -0.0541627
30, 0.3434, Step 2
30.2, 0.514212
30.4, 0.60544
30.6, 0.661249
30.8, 0.705873
31, 0.782535
31.2, 0.816042
31.4, 0.841883
31.6, 0.864699
31.8, 0.881948
32, 0.895577
32.2, 0.906301
32.4, 0.914625
32.6, 0.92139
32.8, 0.927814
33, 0.934018
33.2, 0.94016
33.4, 0.946167
33.6, 0.953454
33.8, 0.960476
34, 0.965802
34.2, 0.970456
34.4, 0.975096
34.6, 0.978835
34.8, 0.981864
35, 0.987139
35.2, 0.991496
35.4, 0.996184
35.6, 1.00132
35.8, 1.00551
36, 1.00719
36.2, 1.01074
36.4, 1.01381
36.6, 1.01852
36.8, 1.02419
37, 1.03004
37.2, 1.03451
37.4, 1.03968
37.6, 1.04294
37.8, 1.04532
38, 1.04935
38.2, 1.05443
38.4, 1.05735
38.6, 1.05846
38.8, 1.06383
39, 1.06674
39.2, 1.07086
39.4, 1.0739
39.6, 1.07964
39.8, 1.08248
40, 1.08584
40.2, 1.08716
40.4, 1.09275
40.6, 1.09611
40.8, 1.09698
41, 1.10264
41.2, 1.10626
41.4, 1.1082
41.6, 1.11112
41.8, 1.11518
42, 1.11564
42.2, 1.12095
42.4, 1.12271
42.6, 1.12392
42.8, 1.12741
43, 1.13153
43.2, 1.1318
43.4, 1.13476
43.6, 1.13998
43.8, 1.14264
44, 1.14593
44.2, 1.14803
44.4, 1.15365
44.6, 1.15598
44.8, 1.15995
45, 1.15915
45.2, 1.16381
45.4, 1.1655
45.6, 1.16652
45.8, 1.1691
46, 1.17276
46.2, 1.17434
46.4, 1.17694
46.6, 1.17949
46.8, 1.18116
47, 1.18597
47.2, 1.18794
47.4, 1.18937
47.6, 1.19376
47.8, 1.19639
48, 1.19744
48.2, 1.19831
48.4, 1.19981
48.6, 1.19942
48.8, 1.20081
49, 1.20316
49.2, 1.2075
49.4, 1.21097
49.6, 1.2129
49.8, 1.21649
50, 1.21794
50.2, 1.22119
50.4, 1.22155
50.6, 1.22539
50.8, 1.22707
51, 1.22927
51.2, 1.22858
51.4, 1.23082
51.6, 1.23273
51.8, 1.23271
52, 1.23396
52.2, 1.23638
52.4, 1.23974
52.6, 1.24174
52.8, 1.24339
53, 1.24621
53.2, 1.24886
53.4, 1.24824
53.6, 1.24873
53.8, 1.25204
54, 1.25272
54.2, 1.25361
54.4, 1.25695
54.6, 1.25764
54.8, 1.26103
55, 1.26569
55.2, 1.2669
55.4, 1.26923
55.6, 1.27168
55.8, 1.27088
56, 1.27031
56.2, 1.27326
56.4, 1.27542
56.6, 1.27827
56.8, 1.27966
57, 1.2805
57.2, 1.28067
57.4, 1.28038
57.6, 1.28113
57.8, 1.28541
58, 1.28699
58.2, 1.28899
58.4, 1.29125
58.6, 1.29261
58.8, 1.29393
59, 1.29619
59.2, 1.29755
59.4, 1.29822
59.6, 1.2996
59.8, 1.29944
60, 1.29889
60.2, 1.30082
60.4, 1.30405
60.6, 1.30626
60.8, 1.30808
61, 1.31169
61.2, 1.31305
61.4, 1.31367
61.6, 1.3155
61.8, 1.31614
62, 1.31699
62.2, 1.31905
62.4, 1.32
62.6, 1.31943
62.8, 1.32056
63, 1.32209
63.2, 1.32439
63.4, 1.32554
63.6, 1.32766
63.8, 1.3308
64, 1.33248
64.2, 1.33215
64.4, 1.33153
64.6, 1.3321
64.8, 1.33258
65, 1.33466
65.2, 1.33604
65.4, 1.33929
65.6, 1.34193
65.8, 1.34261
66, 1.34307
66.2, 1.34473
66.4, 1.34563
66.6, 1.34771
66.8, 1.35005
67, 1.35131
67.2, 1.35165
67.4, 1.35335
67.6, 1.35404
67.8, 1.35329
68, 1.35476
68.2, 1.35621
68.4, 1.35705
68.6, 1.35776
68.8, 1.3614
69, 1.36252
69.2, 1.36326
69.4, 1.36462
69.6, 1.36613
69.8, 1.365
70, 1.36623
70.2, 1.36894
70.4, 1.37085
70.6, 1.37158
70.8, 1.37342
71, 1.37478
71.2, 1.3746
71.4, 1.37539
71.6, 1.37658
71.8, 1.37916
72, 1.37894
72.2, 1.38096
72.4, 1.37991
72.6, 1.38224
72.8, 1.38215
73, 1.38474
73.2, 1.38465
73.4, 1.38816
73.6, 1.38769
73.8, 1.38906
74, 1.39066
74.2, 1.39236
74.4, 1.39413
74.6, 1.39606
74.8, 1.39601
75, 1.39492
75.2, 1.39633
75.4, 1.39663
75.6, 1.39721
75.8, 1.40032
76, 1.40271
76.2, 1.40432
76.4, 1.40459
76.6, 1.4049
76.8, 1.40351
77, 1.40474
77.2, 1.40573
77.4, 1.40708
77.6, 1.40895
77.8, 1.41163
78, 1.41015
78.2, 1.40974
78.4, 1.4104
78.6, 1.41186
78.8, 1.41283
79, 1.41483
79.2, 1.41583
79.4, 1.41658
79.6, 1.41744
79.8, 1.41727
80, 1.41959
80.2, 1.42126
80.4, 1.4257
80.6, 1.42564
80.8, 1.42772
81, 1.42874
81.2, 1.43008
81.4, 1.4272
81.6, 1.42819
81.8, 1.42859
82, 1.4287
82.2, 1.42792
82.4, 1.4307
82.6, 1.4305
82.8, 1.43251
83, 1.43322
83.2, 1.435
83.4, 1.43538
83.6, 1.43808
83.8, 1.4373
84, 1.43917
84.2, 1.43998
84.4, 1.44182
84.6, 1.4423
84.8, 1.44388
85, 1.44251
85.2, 1.44396
85.4, 1.444
85.6, 1.44235
85.8, 1.44366
86, 1.4454
86.2, 1.44622
86.4, 1.44648
86.6, 1.45075
86.8, 1.45102
87, 1.4534
87.2, 1.45652
87.4, 1.45815
87.6, 1.45652
87.8, 1.45984
88, 1.45873
88.2, 1.4582
88.4, 1.45714
88.6, 1.45991
88.8, 1.4586
89, 1.46093
