Time (s), Binding (nm)
0, 0, Step 1
0.2, -0.00351617
0.4, -0.00598389
0.6, -0.00718332
0.8, -0.00720911
1, -0.00870181
1.2, -0.00889547
1.4, -0.00838167
1.6, -0.010032
1.8, -0.0113714
2, -0.0115886
2.2, -0.0122749
2.4, -0.0144472
2.6, -0.0131372
2.8, -0.0152568
3, -0.0149503
3.2, -0.0151039
3.4, -0.0143352
3.6, -0.0156624
3.8, -0.0167701
4, -0.0196463
4.2, -0.0215597
4.4, -0.0228849
4.6, -0.0242987
4.8, -0.0232081
5, -0.0215712
5.2, -0.0220507
5.4, -0.0235991
5.6, -0.0239098
5.8, -0.0247654
6, -0.0265046
6.2, -0.0257153
6.4, -0.0256629
6.6, -0.0260655
6.8, -0.0270196
7, -0.0265824
7.2, -0.0274649
7.4, -0.0274933
7.6, -0.0276538
7.8, -0.0285959
8, -0.0293927
8.2, -0.0299163
8.4, -0.0304068
8.6, -0.031914
8.8, -0.0303686
9, -0.0317645
9.2, -0.0324945
9.4, -0.0326949
9.6, -0.0323101
9.8, -0.033226
10, -0.0331464
10.2, -0.0321698
10.4, -0.0332458
10.6, -0.0325487
10.8, -0.034295
11, -0.0351024
11.2, -0.0356832
11.4, -0.0365444
11.6, -0.0383555
11.8, -0.0378256
12, -0.0381115
12.2, -0.0388422
12.4, -0.039503
12.6, -0.0400735
12.8, -0.0406038
13, -0.0409403
13.2, -0.0409197
13.4, -0.0404161
13.6, -0.0398135
13.8, -0.0401115
14, -0.0396706
14.2, -0.0412479
14.4, -0.0413762
14.6, -0.0424289
14.8, -0.0421572
15, -0.0425677
15.2, -0.0418121
15.4, -0.0417483
15.6, -0.0420719
15.8, -0.0429138
16, -0.0420677
16.2, -0.0424404
16.4, -0.0425721
16.6, -0.0424876
16.8, -0.0429326
17, -0.0440666
17.2, -0.0455054
17.4, -0.045715
17.6, -0.0457629
17.8, -0.044872
18, -0.0452978
18.2, -0.0448593
18.4, -0.0459324
18.6, -0.0456205
18.8, -0.0468204
19, -0.0475488
19.2, -0.0478467
19.4, -0.0479033
19.6, -0.0486914
19.8, -0.0492944
20, -0.0502849
20.2, -0.0506837
20.4, -0.0504603
20.6, -0.0505593
20.8, -0.0509577
21, -0.0511514
21.2, -0.0519845
21.4, -0.0520924
21.6, -0.0517198
21.8, -0.0512312
22, -0.0501067
22.2, -0.0507538
22.4, -0.0512808
22.6, -0.0518256
22.8, -0.0527094
23, -0.0532922
23.2, -0.0527853
23.4, -0.0519658
23.6, -0.0528496
23.8, -0.0533655
24, -0.0541062
24.2, -0.0540256
24.4, -0.0552227
24.6, -0.0556411
24.8, -0.0545219
25, -0.0547199
25.2, -0.0551804
25.4, -0.0561498
25.6, -0.0566882
25.8, -0.0570902
26, -0.0571065
26.2, -0.0573767
26.4, -0.0575369
26.6, -0.0562953
26.8, -0.0572593
27, -0.0577003
27.2, -0.0567225
27.4, -0.0560322
27.6, -0.0568512
27.8, -0.0573517
28, -0.0569396
28.2, -0.0586288
28.4, -0.059124
28.6, -0.059919
28.8, -0.0594766
29, -0.0604193
29.2, -0.0598455
29.4, -0.0604272
29.6, -0.0605631
29.8, -0.0600202
30, 0.214734, Step 2
30.2, 0.291566
30.4, 0.363528
30.6, 0.400855
30.8, 0.449214
31, 0.495221
31.2, 0.526658
31.4, 0.550333
31.6, 0.571075
31.8, 0.583395
32, 0.598043
32.2, 0.610338
32.4, 0.618933
32.6, 0.630208
32.8, 0.640161
33, 0.649543
33.2, 0.659992
33.4, 0.668634
33.6, 0.677016
33.8, 0.688578
34, 0.697376
34.2, 0.704349
34.4, 0.716836
34.6, 0.724665
34.8, 0.733684
35, 0.741782
35.2, 0.750931
35.4, 0.758128
35.6, 0.768178
35.8, 0.776179
36, 0.782614
36.2, 0.793302
36.4, 0.799593
36.6, 0.805369
36.8, 0.813743
37, 0.821033
37.2, 0.826666
37.4, 0.836847
37.6, 0.841571
37.8, 0.845417
38, 0.854927
38.2, 0.861093
38.4, 0.863013
38.6, 0.872944
38.8, 0.879647
39, 0.886407
39.2, 0.891159
39.4, 0.896927
39.6, 0.901878
39.8, 0.909748
40, 0.913322
40.2, 0.918391
40.4, 0.926182
40.6, 0.927951
40.8, 0.933867
41, 0.939166
41.2, 0.943129
41.4, 0.94874
41.6, 0.957894
41.8, 0.9604
42, 0.964051
42.2, 0.971497
42.4, 0.973594
42.6, 0.976622
42.8, 0.981367
43, 0.983825
43.2, 0.986149
43.4, 0.991648
43.6, 0.994003
43.8, 0.997567
44, 1.00495
44.2, 1.0078
44.4, 1.00968
44.6, 1.01525
44.8, 1.01689
45, 1.02071
45.2, 1.02756
45.4, 1.033
45.6, 1.03352
45.8, 1.03903
46, 1.04325
46.2, 1.04394
46.4, 1.04562
46.6, 1.05138
46.8, 1.05292
47, 1.05564
47.2, 1.05815
47.4, 1.06138
47.6, 1.06576
47.8, 1.07213
48, 1.07285
48.2, 1.07719
48.4, 1.08219
48.6, 1.08251
48.8, 1.0847
49, 1.08594
49.2, 1.08865
49.4, 1.09199
49.6, 1.09641
49.8, 1.09851
50, 1.10223
50.2, 1.10654
50.4, 1.10722
50.6, 1.10931
50.8, 1.11255
51, 1.1135
51.2, 1.11481
51.4, 1.1195
51.6, 1.1199
51.8, 1.12073
52, 1.12681
52.2, 1.12924
52.4, 1.13017
52.6, 1.1367
52.8, 1.13948
53, 1.1409
53.2, 1.14307
53.4, 1.14578
53.6, 1.14638
53.8, 1.14796
54, 1.15254
54.2, 1.15576
54.4, 1.15713
54.6, 1.15943
54.8, 1.16525
55, 1.16651
55.2, 1.16676
55.4, 1.17046
55.6, 1.17069
55.8, 1.17152
56, 1.17484
56.2, 1.17625
56.4, 1.18044
56.6, 1.1868
56.8, 1.18965
57, 1.18943
57.2, 1.19547
57.4, 1.1958
57.6, 1.19524
57.8, 1.19734
58, 1.19857
58.2, 1.19987
58.4, 1.20257
58.6, 1.2042
58.8, 1.20317
59, 1.20608
59.2, 1.20723
59.4, 1.20775
59.6, 1.21144
59.8, 1.21338
60, 1.21712
60.2, 1.2191
60.4, 1.22065
60.6, 1.22178
60.8, 1.22653
61, 1.2283
61.2, 1.22753
61.4, 1.23194
61.6, 1.23324
61.8, 1.23405
62, 1.23415
62.2, 1.23626
62.4, 1.23768
62.6, 1.24079
62.8, 1.24349
63, 1.24328
63.2, 1.24699
63.4, 1.24657
63.6, 1.24637
63.8, 1.24914
64, 1.25132
64.2, 1.25597
64.4, 1.26057
64.6, 1.26371
64.8, 1.26165
65, 1.26548
65.2, 1.26461
65.4, 1.26393
65.6, 1.26696
65.8, 1.27043
66, 1.27318
66.2, 1.27626
66.4, 1.27692
66.6, 1.27611
66.8, 1.28006
67, 1.28137
67.2, 1.2789
67.4, 1.2841
67.6, 1.28447
67.8, 1.2853
68, 1.28637
68.2, 1.28922
68.4, 1.29071
68.6, 1.29502
68.8, 1.29515
69, 1.29502
69.2, 1.29882
69.4, 1.29809
69.6, 1.29849
69.8, 1.30072
70, 1.30194
70.2, 1.30154
70.4, 1.30461
70.6, 1.30503
70.8, 1.30329
71, 1.30581
71.2, 1.30836
71.4, 1.3076
71.6, 1.31146
71.8, 1.31488
72, 1.31686
72.2, 1.31915
72.4, 1.31986
72.6, 1.31971
72.8, 1.32368
73, 1.32464
73.2, 1.32362
73.4, 1.32641
73.6, 1.32831
73.8, 1.32816
74, 1.3296
74.2, 1.33051
74.4, 1.33196
74.6, 1.33219
74.8, 1.3331
75, 1.33223
75.2, 1.3351
75.4, 1.33535
75.6, 1.33723
75.8, 1.33921
76, 1.34157
76.2, 1.34276
76.4, 1.34596
76.6, 1.34589
76.8, 1.34396
77, 1.34631
77.2, 1.34703
77.4, 1.34753
77.6, 1.3515
77.8, 1.3528
78, 1.35474
78.2, 1.35846
78.4, 1.35756
78.6, 1.35608
78.8, 1.36211
79, 1.36298
79.2, 1.36161
79.4, 1.36566
79.6, 1.36848
79.8, 1.36664
80, 1.36806
80.2, 1.36812
80.4, 1.37035
80.6, 1.37242
80.8, 1.37343
81, 1.37212
81.2, 1.37617
81.4, 1.37572
81.6, 1.37541
81.8, 1.37758
82, 1.3793
82.2, 1.3809
82.4, 1.38325
82.6, 1.38268
82.8, 1.38392
83, 1.38769
83.2, 1.386
83.4, 1.38491
83.6, 1.38861
83.8, 1.38843
84, 1.38928
84.2, 1.3906
84.4, 1.39069
84.6, 1.39195
84.8, 1.39437
85, 1.39407
85.2, 1.39605
85.4, 1.39884
85.6, 1.39843
85.8, 1.39893
86, 1.40143
86.2, 1.40099
86.4, 1.40256
86.6, 1.4055
86.8, 1.40483
87, 1.40449
87.2, 1.40825
87.4, 1.40639
87.6, 1.40762
87.8, 1.40948
88, 1.40975
88.2, 1.41144
88.4, 1.4152
88.6, 1.41348
88.8, 1.4151
89, 1.41804
89.2, 1.41544
89.4, 1.41625
89.6, 1.41849
89.8, 1.41997
90, 1.42161
90.2, 1.42261
90.4, 1.42288
90.6, 1.42563
90.8, 1.42588
91, 1.42425
91.2, 1.42861
91.4, 1.43062
91.6, 1.4285
91.8, 1.43052
