Time (s), Binding (nm)
0, 0, Step 1
0.2, -0.00550396
0.4, -0.0074658
0.6, -0.00770063
0.8, -0.0102664
1, -0.0123387
1.2, -0.0118822
1.4, -0.0112541
1.6, -0.0117689
1.8, -0.0110587
2, -0.0099298
2.2, -0.00989691
2.4, -0.0111498
2.6, -0.0119335
2.8, -0.0133316
3, -0.0148104
3.2, -0.0163485
3.4, -0.0167241
3.6, -0.0170892
3.8, -0.016285
4, -0.0164259
4.2, -0.016437
4.4, -0.0170602
4.6, -0.0181041
4.8, -0.0193134
5, -0.0188687
5.2, -0.0186112
5.4, -0.0187976
5.6, -0.0183415
5.8, -0.0179006
6, -0.0193188
6.2, -0.0208938
6.4, -0.0208047
6.6, -0.0221312
6.8, -0.0230527
7, -0.0228702
7.2, -0.0221319
7.4, -0.0236118
7.6, -0.0244539
7.8, -0.0243994
8, -0.0236539
8.2, -0.0243065
8.4, -0.0232487
8.6, -0.0224158
8.8, -0.0227232
9, -0.0240863
9.2, -0.0253125
9.4, -0.0270979
9.6, -0.0267054
9.8, -0.0272546
10, -0.027402
10.2, -0.0267776
10.4, -0.0271418
10.6, -0.0274646
10.8, -0.0276017
11, -0.0269453
11.2, -0.0264342
11.4, -0.0260313
11.6, -0.026554
11.8, -0.0267064
12, -0.0272645
12.2, -0.0286277
12.4, -0.0280008
12.6, -0.0281
12.8, -0.0278159
13, -0.0277328
13.2, -0.0263998
13.4, -0.0275645
13.6, -0.0283757
13.8, -0.0290331
14, -0.0304461
14.2, -0.0311788
14.4, -0.0319044
14.6, -0.0318959
14.8, -0.0306803
15, -0.0300561
15.2, -0.0305191
15.4, -0.0288054
15.6, -0.0274927
15.8, -0.0284707
16, -0.0290217
16.2, -0.0275687
16.4, -0.02858
16.6, -0.0296673
16.8, -0.030023
17, -0.0303042
17.2, -0.032124
17.4, -0.0323712
17.6, -0.0325451
17.8, -0.0317982
18, -0.0308826
18.2, -0.0311737
18.4, -0.030261
18.6, -0.0307875
18.8, -0.0319057
19, -0.032065
19.2, -0.0315841
19.4, -0.0323855
19.6, -0.0318135
19.8, -0.0318841
20, -0.0314642
20.2, -0.0321946
20.4, -0.0313632
20.6, -0.0318193
20.8, -0.0303562
21, -0.0321159
21.2, -0.0316634
21.4, -0.0325006
21.6, -0.0321648
21.8, -0.0327485
22, -0.0320519
22.2, -0.0326853
22.4, -0.0333661
22.6, -0.0339777
22.8, -0.0343902
23, -0.0342114
23.2, -0.0337203
23.4, -0.0338497
23.6, -0.0347777
23.8, -0.0359049
24, -0.0363252
24.2, -0.0365659
24.4, -0.0356086
24.6, -0.0345251
24.8, -0.0335078
25, -0.0332918
25.2, -0.0329519
25.4, -0.0331515
25.6, -0.0339306
25.8, -0.0348047
26, -0.0345443
26.2, -0.0354553
26.4, -0.0359635
26.6, -0.0356114
26.8, -0.0363251
27, -0.0372679
27.2, -0.0378165
27.4, -0.0385882
27.6, -0.0391642
27.8, -0.0379438
28, -0.0378583
28.2, -0.0375138
28.4, -0.0361586
28.6, -0.0367989
28.8, -0.0370414
29, -0.036527
29.2, -0.0361221
29.4, -0.0374972
29.6, -0.0364633
29.8, -0.0384279
30, 0.295927, Step 2
30.2, 0.360514
30.4, 0.403533
30.6, 0.434698
30.8, 0.454371
31, 0.49018
31.2, 0.510297
31.4, 0.525655
31.6, 0.542138
31.8, 0.555049
32, 0.566312
32.2, 0.578537
32.4, 0.587882
32.6, 0.596386
32.8, 0.605337
33, 0.613419
33.2, 0.621652
33.4, 0.630305
33.6, 0.638459
33.8, 0.645339
34, 0.652519
34.2, 0.65944
34.4, 0.66573
34.6, 0.671771
34.8, 0.679871
35, 0.68638
35.2, 0.6914
35.4, 0.698583
35.6, 0.705377
35.8, 0.711326
36, 0.718967
36.2, 0.726406
36.4, 0.733418
36.6, 0.737185
36.8, 0.744473
37, 0.748809
37.2, 0.754796
37.4, 0.762068
37.6, 0.766301
37.8, 0.772156
38, 0.779156
38.2, 0.782439
38.4, 0.785247
38.6, 0.79263
38.8, 0.798361
39, 0.802422
39.2, 0.809519
39.4, 0.816532
39.6, 0.82141
39.8, 0.827192
40, 0.831766
40.2, 0.836487
40.4, 0.841775
40.6, 0.846205
40.8, 0.850454
41, 0.854191
41.2, 0.858415
41.4, 0.862996
41.6, 0.867365
41.8, 0.871643
42, 0.878245
42.2, 0.88328
42.4, 0.887333
42.6, 0.89106
42.8, 0.893302
43, 0.896507
43.2, 0.90071
43.4, 0.900314
43.6, 0.905513
