Time (s), Binding (nm)
0, 0, Step 1
0.2, -0.00621837
0.4, -0.00480836
0.6, -0.00537502
0.8, -0.00689217
1, -0.00775743
1.2, -0.00617503
1.4, -0.00747425
1.6, -0.00708903
1.8, -0.00601324
2, -0.00547182
2.2, -0.00515143
2.4, -0.0052112
2.6, -0.00670899
2.8, -0.00720382
3, -0.00694071
3.2, -0.00886932
3.4, -0.00959
3.6, -0.00878939
3.8, -0.00858784
4, -0.00881383
4.2, -0.00828932
4.4, -0.00813088
4.6, -0.00889341
4.8, -0.00884975
5, -0.00958013
5.2, -0.00958677
5.4, -0.00914871
5.6, -0.0079098
5.8, -0.00713454
6, -0.00721367
6.2, -0.00745253
6.4, -0.0075996
6.6, -0.00904726
6.8, -0.00931285
7, -0.00744713
7.2, -0.00664341
7.4, -0.00496597
7.6, -0.00357236
7.8, -0.00298905
8, -0.00458112
8.2, -0.00474109
8.4, -0.00690264
8.6, -0.00802785
8.8, -0.00951608
9, -0.00940393
9.2, -0.00838201
9.4, -0.00815083
9.6, -0.00784036
9.8, -0.00783008
10, -0.00744193
10.2, -0.00848492
10.4, -0.00787654
10.6, -0.00707956
10.8, -0.00626754
11, -0.00585989
11.2, -0.00588632
11.4, -0.00606677
11.6, -0.00645526
11.8, -0.00667412
12, -0.00579527
12.2, -0.00616679
12.4, -0.00497656
12.6, -0.00603629
12.8, -0.00626477
13, -0.00827236
13.2, -0.00752723
13.4, -0.00788443
13.6, -0.0077282
13.8, -0.00861456
14, -0.00835287
14.2, -0.00889902
14.4, -0.00988451
14.6, -0.00807767
14.8, -0.00749342
15, -0.0068359
15.2, -0.00658822
15.4, -0.00702633
15.6, -0.0093777
15.8, -0.00924493
16, -0.00906409
16.2, -0.00964974
16.4, -0.00942311
16.6, -0.00749099
16.8, -0.00711639
17, -0.00869835
17.2, -0.00844295
17.4, -0.00799948
17.6, -0.00923268
17.8, -0.00923667
18, -0.00884953
18.2, -0.00755551
18.4, -0.00844109
18.6, -0.00757646
18.8, -0.00767569
19, -0.00722728
19.2, -0.00814084
19.4, -0.00787127
19.6, -0.00805894
19.8, -0.00814908
20, -0.00826498
20.2, -0.00893921
20.4, -0.0075587
20.6, -0.00773728
20.8, -0.00816984
21, -0.00669016
21.2, -0.00529781
21.4, -0.00680635
21.6, -0.00671154
21.8, -0.00575496
22, -0.00577231
22.2, -0.00703406
22.4, -0.00623715
22.6, -0.0064549
22.8, -0.00714853
23, -0.00901835
23.2, -0.00927536
23.4, -0.00966675
23.6, -0.00852841
23.8, -0.00862419
24, -0.00763948
24.2, -0.00823646
24.4, -0.00904948
24.6, -0.00977468
24.8, -0.00939681
