Time (s), Binding (nm)
0, 0, Step 1
0.2, -0.00294335
0.4, -0.00444413
0.6, -0.00479818
0.8, -0.00531348
1, -0.00677862
1.2, -0.00721136
1.4, -0.0076383
1.6, -0.00837314
1.8, -0.00947913
2, -0.00944732
2.2, -0.00961068
2.4, -0.0098328
2.6, -0.0102703
2.8, -0.00953386
3, -0.00935471
3.2, -0.00875472
3.4, -0.00890249
3.6, -0.009001
3.8, -0.0085379
4, -0.00790618
4.2, -0.00839074
4.4, -0.00784237
4.6, -0.00631504
4.8, -0.00721775
5, -0.00736308
5.2, -0.00618036
5.4, -0.00576619
5.6, -0.00692099
5.8, -0.00627395
6, -0.00550677
6.2, -0.00649485
6.4, -0.00585956
6.6, -0.00541894
6.8, -0.00596647
7, -0.00633409
7.2, -0.00518839
7.4, -0.00665484
7.6, -0.00546776
7.8, -0.00475763
8, -0.00467551
8.2, -0.00555998
8.4, -0.00405427
8.6, -0.00467316
8.8, -0.00452
9, -0.00402775
9.2, -0.00423594
9.4, -0.0040904
9.6, -0.00454685
9.8, -0.00468282
10, -0.00453746
10.2, -0.00365906
10.4, -0.00412733
10.6, -0.00414915
10.8, -0.00381993
11, -0.00453672
11.2, -0.00379698
11.4, -0.00394278
11.6, -0.00365111
11.8, -0.00352743
12, -0.00311724
12.2, -0.00368264
12.4, -0.00204959
12.6, -0.00257634
12.8, -0.00211687
13, -0.00179732
13.2, -0.000904966
13.4, -0.0011136
13.6, 9.84406e-005
13.8, 9.48111e-005
14, 0.000915345
14.2, 0.000702841
14.4, -0.000155
14.6, -0.000254769
14.8, -0.000456239
15, -0.00193772
15.2, -0.00187566
15.4, -0.00184074
15.6, -0.00195324
15.8, -0.00175915
16, -0.000815833
16.2, -0.00151395
16.4, -0.0022975
16.6, -0.00206906
16.8, -0.0024909
17, -0.00277511
17.2, -0.00293709
17.4, -0.00151345
17.6, -0.00201712
17.8, -0.00158255
18, -0.00085941
18.2, 9.50525e-005
18.4, -0.00114029
18.6, -0.000392924
18.8, 0.000420226
19, -0.00050969
19.2, -0.000754849
19.4, 0.000129875
19.6, -0.000229234
19.8, -0.00108149
20, -0.00022195
20.2, -0.000249677
20.4, 6.78065e-006
20.6, -0.000499589
20.8, -0.000500302
21, -0.000428418
21.2, -0.000630793
21.4, -0.000918675
21.6, -0.000985201
21.8, -0.000377287
22, -0.0011673
22.2, -0.00144138
22.4, -0.00191619
22.6, -0.000903238
22.8, -0.00157883
23, -0.00161309
23.2, -0.00133838
23.4, -0.000884251
23.6, -0.00126565
23.8, -0.00181376
24, -0.00201187
24.2, -0.00227312
24.4, -0.00236303
24.6, -0.00226956
24.8, -0.00134191
25, -0.00132188
25.2, -0.00109104
25.4, -0.00144034
25.6, -0.00255379
25.8, -0.00253541
26, -0.00197731
26.2, -0.00156128
26.4, -0.00125342
26.6, -0.000841186
26.8, -0.000967798
27, -0.000681251
27.2, -0.00172324
27.4, -0.00190888
27.6, -0.000249785
27.8, 0.00021538
28, -0.000140163
28.2, 0.000346984
28.4, 0.000180748
28.6, -0.00119453
28.8, -0.00180895
29, -0.00184477
29.2, -0.00183812
29.4, -0.00129173
29.6, -0.00037417
29.8, -0.000472682
30, 0.0950755, Step 2
30.2, 0.0868124
30.4, 0.0836294
30.6, 0.0881305
30.8, 0.0831739
31, 0.0810543
31.2, 0.0814845
31.4, 0.0820779
31.6, 0.0834742
31.8, 0.0868616
32, 0.0917666
32.2, 0.0971601
32.4, 0.10264
32.6, 0.109401
32.8, 0.11704
33, 0.123494
33.2, 0.130555
33.4, 0.138907
33.6, 0.145188
33.8, 0.152581
34, 0.160359
34.2, 0.168804
34.4, 0.175376
34.6, 0.183347
34.8, 0.190625
35, 0.197849
35.2, 0.20478
35.4, 0.212591
35.6, 0.220117
35.8, 0.22743
36, 0.235086
36.2, 0.242243
36.4, 0.250388
36.6, 0.257594
36.8, 0.264476
37, 0.272554
37.2, 0.280631
37.4, 0.286089
37.6, 0.292516
